    stage                            winner                general classification                 points classification      mountains classification young rider classification
0       1                    htc - highroad                         marco pinotti                           not awarded                   not awarded             bjørn selander
1       2               alessandro petacchi                        mark cavendish                   alessandro petacchi                sebastian lang             bjørn selander
2       3                     ángel vicioso                          david millar                   alessandro petacchi            gianluca brambilla              jan bakelants
3       4                 stage neutralised                          david millar                   alessandro petacchi            gianluca brambilla              jan bakelants
4       5                    pieter weening                        pieter weening                   alessandro petacchi                 martin kohler          steven kruijswijk
5       6                 francisco ventoso                        pieter weening                   alessandro petacchi                 martin kohler          steven kruijswijk
6       7                    bart de clercq                        pieter weening                   alessandro petacchi                bart de clercq          steven kruijswijk
7       8                       oscar gatto                        pieter weening                   alessandro petacchi                bart de clercq          steven kruijswijk
8       9      alberto contador josé rujano  alberto contador kanstantsin sivtsov  alberto contador alessandro petacchi                filippo savini            roman kreuziger
9      10                    mark cavendish  alberto contador kanstantsin sivtsov                   alessandro petacchi                filippo savini            roman kreuziger
10     11                       john gadret  alberto contador kanstantsin sivtsov                   alessandro petacchi                filippo savini            roman kreuziger
11     12                    mark cavendish  alberto contador kanstantsin sivtsov                   alessandro petacchi                filippo savini            roman kreuziger
12     13                       josé rujano      alberto contador vincenzo nibali      alberto contador roberto ferrari  alberto contador josé rujano            roman kreuziger
13     14                        igor antón      alberto contador vincenzo nibali     alberto contador michele scarponi  alberto contador josé rujano            roman kreuziger
14     15                       mikel nieve     alberto contador michele scarponi     alberto contador michele scarponi              stefano garzelli            roman kreuziger
15     16  alberto contador vincenzo nibali     alberto contador michele scarponi     alberto contador michele scarponi              stefano garzelli            roman kreuziger
16     17                      diego ulissi     alberto contador michele scarponi     alberto contador michele scarponi              stefano garzelli            roman kreuziger
17     18                     eros capecchi     alberto contador michele scarponi     alberto contador michele scarponi              stefano garzelli            roman kreuziger
18     19                   paolo tiralongo     alberto contador michele scarponi     alberto contador michele scarponi              stefano garzelli            roman kreuziger
19     20                   vasil kiryienka     alberto contador michele scarponi     alberto contador michele scarponi              stefano garzelli            roman kreuziger
20     21                      david millar     alberto contador michele scarponi     alberto contador michele scarponi              stefano garzelli            roman kreuziger
