    rank          nation  gold  silver  bronze  total
0      1    soviet union     3       2       1      6
1      2   united states     3       0       1      4
2      3          brazil     2       3       0      5
3      4          russia     1       1       2      4
4      5           japan     1       1       1      3
5      6     netherlands     1       1       0      2
6      7      yugoslavia     1       0       1      2
7      8          poland     1       0       0      1
8      9           italy     0       2       3      5
9     10  czechoslovakia     0       1       1      2
10    11        bulgaria     0       1       0      1
11    11    east germany     0       1       0      1
12    13       argentina     0       0       1      1
13    13            cuba     0       0       1      1
14    13         romania     0       0       1      1
