       date                                         cover model   centerfold model         interview subject         20 questions
0    1 - 04                                                none    colleen shannon            jack nicholson           al franken
1    2 - 04                                       jaime pressly         aliya wolf         kiefer sutherland        dave matthews
2    3 - 04  rena mero , torrie wilson (two alternative covers)       sandra hubby                jim carrey     william petersen
3    4 - 04                                       rachel hunter       krista kelly                   50 cent          kevin smith
4    5 - 04                                     pamela anderson   nicole whitehead               johnny depp        matthew perry
5    6 - 04                                  charisma carpenter      hiromi oshima               derek jeter             jude law
6    7 - 04                                         peta wilson  stephanie glasson             michael moore  christina applegate
7    8 - 04                                       eva herzigova       pilar lastra                matt damon            spike lee
8    9 - 04                                           amy acuff    scarlett keegan  sergey brin & larry page         terrel owens
9   10 - 04                                         evelyn gery   kimberly holland              donald trump         jimmy fallon
10  11 - 04                                        brooke burke      cara zavaleta              oliver stone         john carmack
11  12 - 04                                     denise richards     tiffany fallon                bernie mac       dustin hoffman
