    position              team  played  wins  draws  losses  scored  conceded  points
0          1           olimpia      10     8      2       0      26         8      26
1          2  sportivo luqueño      10     6      3       1      22        13      21
2          3     cerro porteño      10     5      4       1      21        12      19
3          4           guaraní      10     4      4       2      16        12      16
4          5    sol de américa      10     4      3       3      13         9      15
5          6       san lorenzo      10     3      4       3      15        14      13
6          7    atl colegiales      10     4      1       5      16        19      13
7          8     12 de octubre      10     2      5       3      11        12      11
8          9        cerro corá      10     2      3       5      17        23       9
9         10  presidente hayes      10     0      4       6      10        22       4
10        11       resistencia      10     0      1       9       6        29       1
