     rank          nation  gold  silver  bronze  total
0       1     south korea     9       2       1     12
1       2  chinese taipei     2       3       3      8
2       3           spain     1       5       4     10
3       4   united states     1       2       7     10
4       5          turkey     1       1       2      4
5       6    west germany     1       0       3      4
6       7     netherlands     1       0       1      2
7       8          mexico     0       2       1      3
8       9       indonesia     0       1       0      1
9      10          france     0       0       2      2
10     11       australia     0       0       1      1
11     11          canada     0       0       1      1
12     11     ivory coast     0       0       1      1
13     11         denmark     0       0       1      1
14     11           italy     0       0       1      1
15     11          jordan     0       0       1      1
16     11           nepal     0       0       1      1
17     11     switzerland     0       0       1      1
18  total           total    16      16      32     64
