    round  pick             player        position                 college
0       1    27          john fina          tackle                 arizona
1       3    83    keith goganious      linebacker              penn state
2       4   111         frank kmet   defensive end                  purdue
3       5   139         matt darby  defensive back                    ucla
4       6   167        nate turner    running back                nebraska
5       7   195        kurt schulz  defensive back      eastern washington
6       8   223  leonard humphries  defensive back              penn state
7       9   251        chris walsh   wide receiver                stanford
8      10   279         barry rose   wide receiver  wisconsinstevens point
9      11   307       vince marrow       tight end                  toledo
10     12   335       matt rodgers     quarterback                    iowa
