                       tournament                1984                1985                1986                1987                1988                1989                1990                1991                1992                1993                1994                1995                1996                1997                1998                1999                2000
0                     grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams
1                 australian open                   a                  1r                   a                   a                  qf                   a                  2r                  1r                  4r                  2r                  1r                   a                  1r                  1r                   a                   a                   a
2                     french open                   a                  3r                  qf                  3r                  qf                  sf                  4r                  3r                  1r                  2r                  1r                  4r                  1r                   a                  1r                   a                   a
3                       wimbledon                   a                   a                  1r                   a                  1r                  1r                   a                   a                  1r                  1r                   a                  1r                  1r                   a                   a                   a                   a
4                         us open                   a                   a                  4r                  4r                   a                  4r                  3r                  2r                  2r                  1r                  2r                  2r                  1r                   a                   a                   a                   a
5                      win - loss               0 - 0               2 - 2               7 - 3               5 - 2               8 - 3               8 - 3               6 - 3               3 - 3               4 - 4               2 - 4               1 - 3               4 - 3               0 - 4               0 - 1               0 - 1               0 - 0               0 - 0
6              atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series
7                    indian wells                   a                   a                   a                  1r                   a                  3r                  1r                   a                   f                  1r                  2r                  1r                   a                   a                   a                   a                   a
8                           miami                   a                   a                   a                  2r                  qf                  2r                  2r                   a                  2r                  3r                  3r                   a                   a                   a                   a                   a                   a
9                     monte carlo                   a                   a                   a                  qf                  3r                  2r                   w                  qf                  qf                  2r                  2r                  1r                   a                   a                   a                   a                   a
10                           rome                   a                   a                  3r                  1r                   a                   a                   f                   a                   a                  qf                  3r                  2r                   a                   a                   a                   a                   a
11                        hamburg                   a                   a                   a                  2r                   a                  1r                   a                  1r                   a                   f                  3r                  1r                   a                   a                   a                   a                   a
12                         canada                   a                   a                   a                   a                   a                   a                   a                   w                   a                   a                   a                   a                   a                   a                   a                   a                   a
13                     cincinnati                   a                   a                   a                   a                  2r                  2r                  2r                  1r                   a                   a                   a                  1r                  1r                   a                   a                   a                   a
14  stockholm / essen / stuttgart                   a                   a                   a                   a                   a                   a                  3r                   a                  2r                  1r                  3r                   a                   a                   a                   a                   a                   a
15                          paris                   a                   a                   a                  1r                  qf                  1r                  2r                  1r                  2r                  2r                  1r                   a                   a                   a                   a                   a                   a
16                     win - loss               0 - 0               0 - 0               2 - 1               5 - 6               8 - 4               4 - 6              13 - 6               8 - 4              10 - 5              12 - 7               8 - 7               1 - 5               0 - 1               0 - 0               0 - 0               0 - 0               0 - 0
17               year end ranking                 289                 137                  36                  52                  14                  22                  12                  31                  30                  27                  32                  89                  85                 209                 494                 871                 715
