    stage          date                           course        distance              winner           gc leader
0       1   5 september                          córdoba         161 , 7        markus zberg        markus zberg
1       2   6 september                  córdoba - cádiz         234 , 6   jeroen blijlevens        markus zberg
2       3   7 september                 cádiz - estepona         192 , 6       jaan kirsipuu    laurent jalabert
3       4   8 september                 málaga - granada         173 , 5      fabrizio guidi      fabrizio guidi
4       5   9 september           olula del río - murcia         165 , 5   jeroen blijlevens      fabrizio guidi
5       6  10 september          murcia - xorret de catí         201 , 5  josé maría jiménez  josé maría jiménez
6       7  11 september              alicante - valencia             185   giovanni lombardi  josé maría jiménez
7       8  12 september                palma de mallorca         181 , 5      fabrizio guidi  josé maría jiménez
8       9  13 september                          alcudia  39 , 5 ( itt )       abraham olano       abraham olano
9      10  15 september  vic - estación de pal (andorra)         199 , 3  josé maría jiménez       abraham olano
10     11  16 september                 andorra - cerler             186  josé maría jiménez       abraham olano
11     12  17 september                  benasque - jaca             187        gianni bugno       abraham olano
12     13  18 september                       sabiñánigo         208 , 5   andrei zintchenko       abraham olano
13     14  19 september               biescas - zaragoza         155 , 5         marcel wüst       abraham olano
14     15  20 september                 zaragoza - soria         178 , 7   andrei zintchenko       abraham olano
15     16  21 september    soria - laguna negra de neila         143 , 7  josé maría jiménez       abraham olano
16     17  22 september                    burgos - león         188 , 5         marcel wüst       abraham olano
17     18  23 september                 león - salamanca             223      fabrizio guidi       abraham olano
18     19  24 september                  ávila - segovia         170 , 4       roberto heras       abraham olano
19     20  25 september    segovia - alto de navacerrada             206   andrei zintchenko  josé maría jiménez
20     21  26 september                      fuenlabrada      39 ( itt )          alex zülle       abraham olano
21     22  27 september                           madrid             163        markus zberg       abraham olano
