     res      record            opponent                                   method                                                 event  round   time                                     location
0   loss  25 - 9 - 1          matt brown                             ko (punches)                    ufc fight night : shogun vs sonnen      1   0:29       boston , massachusetts , united states
1    win  25 - 8 - 1          rick story                         decision (split)                                               ufc 160      3   5:00           las vegas , nevada , united states
2    win  24 - 8 - 1          james head                     tko (knee & punches)                        the ultimate fighter 16 finale      1   1:55           las vegas , nevada , united states
3    win  23 - 8 - 1           josh neer                               ko (punch)                         ufc on fx : johnson vs mccall      1   4:56            sunrise , florida , united states
4    win  22 - 8 - 1       ricardo funch                     tko (knee & punches)                                               ufc 142      1   1:22                      rio de janeiro , brazil
5   loss  21 - 8 - 1      rory macdonald                            tko (punches)                                               ufc 133      1   3:54  philadelphia , pennsylvania , united states
6    win  21 - 7 - 1     ricardo almeida                     decision (unanimous)                                               ufc 128      3   5:00          newark , new jersey , united states
7    win  20 - 7 - 1       john hathaway                     decision (unanimous)                                               ufc 120      3   5:00                             london , england
8    win  19 - 7 - 1        jesse lennox    technical submission (triangle choke)                                               ufc 115      3   4:44        vancouver , british columbia , canada
9   loss  18 - 7 - 1    jake ellenberger                            tko (punches)                                               ufc 108      2   0:22           las vegas , nevada , united states
10   win  18 - 6 - 1        chris wilson            submission (guillotine choke)                    ufc fight night : diaz vs guillard      3   2:15     oklahoma city , oklahoma , united states
11  loss  17 - 6 - 1        brock larson          submission (arm triangle choke)                                                ufc 98      1   3:06           las vegas , nevada , united states
12   win  17 - 5 - 1      brian gassaway                      submission (armbar)                   superfights mma - night of combat 2      1   4:21           las vegas , nevada , united states
13   win  16 - 5 - 1          jj ambrose            submission (rear naked choke)                                   affliction : banned      1   2:51         anaheim , california , united states
14   win  15 - 5 - 1      dan hornbuckle              submission (triangle choke)               world victory road presents : sengoku 2      1   4:52                                tokyo , japan
15   win  14 - 5 - 1       damir mirenic                      submission (kimura)                                         hcf - destiny      2   1:24                   calgary , alberta , canada
16  loss  13 - 5 - 1        jake shields            submission (rear naked choke)                                    elitexc : renegade      1   3:39       corpus christi , texas , united states
17   win  13 - 4 - 1   aaron wetherspoon                     decision (unanimous)                      strikeforce : shamrock vs baroni      3   5:00        san jose , california , united states
18   win  12 - 4 - 1         ross ebañez            submission (rear naked choke)                                       elitexc destiny      1   1:55      southaven , mississippi , united states
19  loss  11 - 4 - 1        matt horwich            submission (rear naked choke)                   ifl : world championship semifinals      2   1:02            portland , oregon , united states
20   win  11 - 3 - 1           john cole  technical submission (guillotine choke)                                        ifl : portland      1   0:17            portland , oregon , united states
21  loss  10 - 3 - 1        rory markham                               ko (punch)                       ifl : legends championship 2006      1   0:44   atlantic city , new jersey , united states
22   win  10 - 2 - 1     gustavo machado                            tko (punches)                gfc : team gracie vs team hammer house      1   1:20              columbus , ohio , united states
23   win   9 - 2 - 1       shonie carter              submission (triangle choke)                                                wec 18      1   2:06         lemoore , california , united states
24   win   8 - 2 - 1       bret bergmark              submission (triangle choke)                                                wec 17      1   3:36         lemoore , california , united states
25   win   7 - 2 - 1          tony sanza            submission (rear naked choke)                                         sportfight 12      1   1:06            portland , oregon , united states
26   win   6 - 2 - 1        damian hatch            submission (rear naked choke)                                         sportfight 10      1   2:07             gresham , oregon , united states
27   win   5 - 2 - 1        patrick suhl                             ko (punches)                                        viking fight 5      1   1:31                         copenhagen , denmark
28   win   4 - 2 - 1  petras markevičius              submission (triangle choke)                                        viking fight 5      2   0:55                         copenhagen , denmark
29   win   3 - 2 - 1  arschak dahabagian              submission (triangle choke)                                        viking fight 4      2   3:39                         copenhagen , denmark
30  loss   2 - 2 - 1   valdas pocevičius            submission (guillotine choke)                                                shooto      1   3:37                          vilnius , lithuania
31  draw   2 - 1 - 1      andrei semenov                                     draw  m - 1 mix fight championship : russia vs the world 5      1  10:00    st petersburg , leningrad oblast , russia
32   win       2 - 1        daan kooiman            submission (rear naked choke)                                        viking fight 3      1   0:49                             aarhus , denmark
33   win       1 - 1           jon fitch            submission (rear naked choke)                    revolution fighting championship 1      1   2:35           las vegas , nevada , united states
34  loss       0 - 1     quinton jackson                     decision (unanimous)       international sport combat federation : memphis      3   5:00          memphis , tennessee , united states
