    pick              nfl team           player          position                 college
0    280       baltimore colts   jim bob taylor       quarterback            georgia tech
1    281       new york giants      lee jenkins    defensive back               tennessee
2    282      los angeles rams   danny triplett        linebacker                 clemson
3    283        denver broncos       don bailey            center              miami (fl)
4    284    kansas city chiefs   dwayne jackson     defensive end    south carolina state
5    285   philadelphia eagles    steve sebahar            center        washington state
6    286         chicago bears      gary worthy      running back         wilmington (oh)
7    287         detroit lions         ben tate      running back  north carolina central
8    288      cleveland browns      boyce green      running back         carson - newman
9    289   san francisco 49ers     jesse sapolu            center                  hawaii
10   290      seattle seahawks     bob mayberry             guard                 clemson
11   291       new york giants  clenzie pierson  defensive tackle                    rice
12   292  new england patriots     steve parker     wide receiver       abilene christian
13   293         buffalo bills      larry white     defensive end           jackson state
14   294  new england patriots     calvin eason    defensive back                 houston
15   295       atlanta falcons      john salley    defensive back                 wyoming
16   296    st louis cardinals   aaron williams     wide receiver              washington
17   297  tampa bay buccaneers       mark witte         tight end       north texas state
18   298     minnesota vikings    brian butcher             guard                 clemson
19   299     green bay packers   bucky scribner            punter                  kansas
20   300        dallas cowboys       dan taylor            tackle             idaho state
21   301         new york jets      mike harmon     wide receiver             mississippi
22   302   pittsburgh steelers       mark raugh         tight end           west virginia
23   303    san diego chargers       tim kearse     wide receiver          san jose state
24   304    cincinnati bengals    gary williams     wide receiver              ohio state
25   305      cleveland browns    howard mcadoo        linebacker          michigan state
26   306        miami dolphins       joe lukens             guard              ohio state
