    round                  player    position    nationality      college / junior / club team
0       1              saku koivu      center        finland                     tps (finland)
1       2        rory fitzpatrick     defence  united states              sudbury wolves (ohl)
2       3     sebastien bordeleau      center         canada           hull olympiques (qmjhl)
3       4             adam wiesel     defence  united states      springfield olympics (nejhl)
4       4  jean - franã§ois houle   left wing         canada               northwood prep (ny)
5       5               jeff lank     defense         canada       prince albert raiders (whl)
6       5            dion darling     defence         canada              spokane chiefs (whl)
7       6            darcy tucker  right wing         canada            kamloops blazers (whl)
8       7             david ruhly   left wing  united states     culver military academy (ind)
9       8             alan letang  defenceman         canada            newmarket royals (ohl)
10      9      alexandre duchesne   left wing         canada  drummondville voltigeurs (qmjhl)
11     10        brian larochelle      goalie  united states      phillips exeter academy (nh)
12     11          russell guzior      center  united states     culver military academy (ind)
