         year        men 's singles    women 's singles                       men 's doubles                  women 's doubles                     mixed doubles
0        1975          victor yusim      no competition      victor yusim michael schneidman                    no competition                    no competition
1        1976    michael schneidman          tineke hof      victor yusim michael schneidman          tineke hof devora geffen                    no competition
2        1977          victor yusim         eva unglick      victor yusim michael schneidman       eva unglick chaya grunstein                    no competition
3        1978          victor yusim     chaya grunstein      victor yusim michael schneidman     chaya grunstein carole silman   michael rappaport carole silman
4        1979          victor yusim         eva unglick      victor yusim michael schneidman       eva unglick chaya grunstein            nissim duk eva unglick
5        1980      yitzhak serrouya           elka kalb          nissim duk yitzhak serrouya        elka kalb irit ben shushan     michael rappaport eva unglick
6        1981      johann ratheyser       adelhid losek      johann rathyser gerard hofegger      eva unglick irit ben shushan   johann ratheyser adelheid losek
7        1982         andrew downes         lisa salmon       david spurling stuart spurling              lisa salmon j downes            david spurling h blake
8   1983 1989        no competition      no competition                       no competition                    no competition                    no competition
9        1990      stephane renault      christelle mol  ricardo fernandes marco vasconcelos  christelle mol virginie delvingt    stephane renault elodie mansuy
10  1991 1997        no competition      no competition                       no competition                    no competition                    no competition
11       1998  aivaras kvedarauskas  svetlana zilberman       aivaras kvedarauskas nir yusim   svetlana zilberman diana koleva  leon pugatch svetlana zilberrman
12  1999 2005        no competition      no competition                       no competition                    no competition                    no competition
13       2006           petr koukal          maja tvrdy             luka petric mateuz srekl                    no competition            luka petric maja tvrdy
14       2007            sho sasaki       tracey hallam          jochen cassel thomas tesche                    no competition    valeriy atrashenkov elena prus
