                 name                    years  seasons  lost  pct
0            jh brown              1908 - 1909      1.0     3    0
1        fe schofield              1909 - 1910      1.0     1    0
2            no coach              1910 - 1911      1.0     1  500
3      james g driver              1911 - 1913      2.0     7  417
4      john blackburn              1913 - 1914      1.0     4  550
5             lw hill              1914 - 1915      1.0     7  286
6   charles c farrell              1915 - 1916      1.0     6  400
7        dixon foster              1916 - 1920      4.0    31  456
8         sol metzger              1920 - 1921      1.0    11  389
9         lana a sims              1921 - 1922      1.0    12  368
10      jack crawford              1922 - 1924      2.0    22  436
11      branch bocock              1924 - 1927      3.0    16  673
12    a burnet stoney              1927 - 1928      1.0    12  400
13          aw norman  1928 - 1932 1933 - 1935      6.0    57  500
14        billy laval              1932 - 1933      1.0     2  895
15       ted petoskey              1935 - 1940      5.0    67  354
16      frank johnson  1940 - 1943 1946 - 1958     14.5   175  499
17        rex enright                     1943      1.0     6  647
18   lt henry findley              1943 - 1944      1.0     2  867
19    johnny mcmillan              1944 - 1945      1.0     3  864
20      dick anderson              1945 - 1946      0.5     8  333
21      walt hambrick              1958 - 1959      1.0    20  167
22        bob stevens              1959 - 1962      3.0    45  430
23          chuck noe              1962 - 1963      1.5    21  417
24     dwane morrison                     1964      0.5     8  333
25      frank mcguire              1964 - 1980     16.0   142  666
26        bill foster              1980 - 1986      6.0    79  538
27      george felton              1986 - 1991      5.0    62  584
28       steve newton              1991 - 1993      2.0    35  364
29       eddie fogler              1993 - 2001      8.0   117  513
30          dave odom              2001 - 2008      7.0   104  552
31        darrin horn              2008 - 2012      4.0    63  488
32       frank martin           2012 - present      1.0     0    0
33         all - time               all - time    103.0  1128  533
