              player  tackles  solo  assisted  sack  yards  td 's
0         joel gueli     31.0    29         4     3     31      1
1        craig walls     19.0    15         8    13      0      0
2   russell hairston     17.5    16         0     0     50      1
3     creig federico     17.0    12        10     3      0      0
4    scott dmitrenko     15.0    13         4     3      0      0
5        mike stoops     14.5    11         7     0      0      0
6     john mcclennon     12.5     9         7     0      5      0
7     ricky mitchell     11.0    10         2     2      0      0
8       jim rafferty     10.5     8         2     0      4      0
9      thomas weaver      9.0     7         4     3      2      0
10     earnest adams      8.0     6         4     5      0      0
11       mike powell      6.0     5         2     0      0      0
12         greg best      6.0     6         0     0      0      0
13      willis yates      5.0     4         2     6      0      0
14        lee larsen      2.5     2         1     0      0      0
