     rank          nation  gold  silver  bronze  total
0       1         germany     6       2       3     11
1       2         hungary     6       1       3     10
2       3          canada     3       0       0      3
3       4          russia     2       6       3     11
4       5          poland     2       2       3      7
5       6         belarus     1       3       4      8
6       7      azerbaijan     1       3       0      4
7       8           spain     1       1       2      4
8       9         romania     1       1       1      3
9      10         ukraine     1       0       3      4
10     11       lithuania     1       1       0      2
11     12         austria     1       0       0      1
12     12          france     1       0       0      1
13     12     new zealand     1       0       0      1
14     12        slovakia     1       0       0      1
15     16   great britain     0       3       0      3
16     17          sweden     0       2       0      2
17     18       australia     0       1       2      3
18     19        bulgaria     0       1       1      2
19     20  czech republic     0       1       0      1
20     20   united states     0       1       0      1
21     22         denmark     0       0       1      1
22     22           italy     0       0       1      1
23     22          norway     0       0       1      1
24     22      uzbekistan     0       0       1      1
25  total           total    29      29      29     87
