                                 school         location  enrolment  founded          denomination  boys / girls  day / boarding                  school colors
0                      annesley college         wayville        530     1902        uniting church         girls  day & boarding                 maroon & white
1                     concordia college         highgate        700     1890              lutheran  boys & girls             day                    blue & gold
2                      immanuel college    novar gardens        800     1895              lutheran  boys & girls  day & boarding            blue , gold & white
3                       pembroke school  kensington park       1545     1915  non - denominational  boys & girls  day & boarding      royal blue , green & gold
4               pulteney grammar school         adelaide        820     1847              anglican  boys & girls             day       navy blue , white & gold
5  st peter 's collegiate girls' school        stonyfell        550     1894              anglican         girls             day              navy blue & white
6                        scotch college          mitcham        850     1919        uniting church  boys & girls  day & boarding                    blue & gold
7                       seymour college      glen osmond        765     1922        uniting church         girls  day & boarding           green , navy & white
8     walford anglican school for girls        hyde park        650     1893              anglican         girls  day & boarding  navy blue , light blue & gold
9                    westminster school           marion       1100     1961        uniting church  boys & girls  day & boarding                  green & white
