                         agency                         route number                            north / east terminal                             south / west terminal                          more information
0           golden gate transit  72 / 72f / 72x commute periods only                santa rosa (piner and industrial)                san francisco (financial district)    see list of golden gate transit routes
1           golden gate transit  74 one northbound commute trip only                santa rosa (piner and industrial)                san francisco (financial district)    see list of golden gate transit routes
2           golden gate transit           101 limited - stop service                santa rosa (piner and industrial)                      san francisco (civic center)    see list of golden gate transit routes
3   mendocino transit authority                          65 cc rider                    mendocino (main st & lansing)                         santa rosa (transit mall)             mendocino north coast service
4   mendocino transit authority             95 south mendocino coast                           point arena (downtown)                         santa rosa (transit mall)             mendocino south coast service
5            santa rosa citybus                                    1                                 mendocino avenue                                  mendocino avenue  see santa rosa citybus map and schedules
6            santa rosa citybus                                    2                                   bennett valley                                    bennett valley  see santa rosa citybus map and schedules
7            santa rosa citybus                                    3                                west ninth street                                 west ninth street  see santa rosa citybus map and schedules
8            santa rosa citybus                                    4                                    rincon valley                                     rincon valley  see santa rosa citybus map and schedules
9            santa rosa citybus                                    5                                santa rosa avenue                                 santa rosa avenue  see santa rosa citybus map and schedules
10           santa rosa citybus                                    6                                west third street                                 west third street  see santa rosa citybus map and schedules
11           santa rosa citybus                                    7               montgomery village & rincon valley                montgomery village & rincon valley  see santa rosa citybus map and schedules
12           santa rosa citybus                                    8                                    sonoma avenue                                     sonoma avenue  see santa rosa citybus map and schedules
13           santa rosa citybus                                    9                                  sebastopol road                                   sebastopol road  see santa rosa citybus map and schedules
14           santa rosa citybus                                   10                                      coddingtown                                       coddingtown  see santa rosa citybus map and schedules
15           santa rosa citybus                                   12                                         roseland                                          roseland  see santa rosa citybus map and schedules
16           santa rosa citybus                                   14                                    county center                                     county center  see santa rosa citybus map and schedules
17           santa rosa citybus                                   17                                       piner road                                        piner road  see santa rosa citybus map and schedules
18           santa rosa citybus                                   18                               southeast corridor                                southeast corridor  see santa rosa citybus map and schedules
19           santa rosa citybus                                   19                              south city corridor                               south city corridor  see santa rosa citybus map and schedules
20        sonoma county transit                                   20                     santa rosa (kaiser hospital)                         monte rio graton one trip          see sonoma county transit routes
21        sonoma county transit             20x commute periods only                        santa rosa (transit mall)                occidental (bohemian hwy & graton)          see sonoma county transit routes
22        sonoma county transit                     22 weekdays only                        santa rosa (transit mall)                    sebastopol (laguna & mckinley)          see sonoma county transit routes
23        sonoma county transit                                   30                            sonoma (sonoma plaza)  santa rosa (kaiser hospital or coddingtown mall)          see sonoma county transit routes
24        sonoma county transit             30x commute periods only                            sonoma (sonoma plaza)                      santa rosa (kaiser hospital)          see sonoma county transit routes
25        sonoma county transit              34 commute periods only                            sonoma (sonoma plaza)                         santa rosa (transit mall)          see sonoma county transit routes
26        sonoma county transit                     42 weekdays only                        santa rosa (transit mall)                     santa rosa industry park west          see sonoma county transit routes
27        sonoma county transit                     46 weekdays only                        santa rosa (transit mall)            rohnert park (sonoma state university)          see sonoma county transit routes
28        sonoma county transit  48 route via cotati , west petaluma                         santa rosa (coddingtown)               petaluma (copeland st transit mall)          see sonoma county transit routes
29        sonoma county transit                                   60  all trips : healdsburg (healdsburg & dry creek)                         santa rosa (transit mall)          see sonoma county transit routes
30        sonoma county transit                                   60   select trips : cloverdale (city hall or depot)                         santa rosa (transit mall)          see sonoma county transit routes
