    tie no        home team        score           away team   report  attendance
0        1         aberdeen        3 - 1           dumbarton  details        3944
1        2         arbroath  3 - 4 (aet)             falkirk  details         923
2        3     brechin city        1 - 0          kilmarnock  details         829
3        4            clyde        2 - 1      airdrie united  details        1381
4        5    dundee united        3 - 1              morton  details        5638
5        6  forfar athletic  ( p ) 3 - 3          motherwell  details        1110
6        7        hibernian        9 - 0            montrose  details        5032
7        8    queen 's park        1 - 3          livingston  details        1011
8        9      ross county        0 - 3  queen of the south  details         959
9       10     st johnstone  3 - 2 (aet)            hamilton  details        1471
10      11      dunfermline        2 - 0         cowdenbeath  details        3582
11      12        peterhead  2 - 2 ( p )     partick thistle  details        1350
