   year                  english title                 original title             country                      director (s)
0  2000        yi yi : a one and a two                          yi yi      japan / taiwan                       edward yang
1  2001           in the mood for love                fa yeung nin wa  france / hong kong                    wong kar - wai
2  2002            and your mother too              y tu mamá también              mexico                    alfonso cuarón
3  2003                    city of god                 cidade de deus              brazil                fernando meirelles
4  2004                  bad education              la mala educación               spain                   pedro almodóvar
5  2005                           2046                           2046   china / hong kong                    wong kar - wai
6  2006                army of shadows             l'armée des ombres      france / italy            jean - pierre melville
7  2007            the lives of others          das leben der anderen             germany  florian henckel von donnersmarck
8  2008  4 months , 3 weeks and 2 days  4 luni , 3 săptămni şi 2 zile             romania                   cristian mungiu
9  2009                   summer hours                 l'heure de été              france                   olivier assayas
