   series ep  episode                  segment a          segment b               segment c                        segment d
0    19 - 01      235               garden forks     english toffee        paint chip cards                      bundt s pan
1    19 - 02      236              pewter flasks       potato salad    hydrogen s fuel cell           engineered wood siding
2    19 - 03      237         canvas wall s tent       s peace pipe   shredded wheat cereal                         s cannon
3    19 - 04      238  ic robot ing hunt s decoy    canned tomatoes            s scoreboard                          s lasso
4    19 - 05      239                 turf grass         beef jerky           wood chippers                     bowling pins
5    19 - 06      240             s multi - tool         jojoba oil   s marionette (part 1)            s marionette (part 2)
6    19 - 07      241                fish decoys  film digitization         cylinder stoves             concrete light poles
7    19 - 08      242            bamboo bicycles       chainsaw art            breath mints  manual motorcycle transmissions
8    19 - 09      243                 dinnerware    air brake tanks          frosted cereal                         s fossil
9    19 - 10      244                       clay      pitted prunes                  s spur               polyurethane tires
10   19 - 11      245                    s taser        canned soup  jaw harps & mouth bows                   s diving board
11   19 - 12      246                navajo rugs          crude oil          s kaleidoscope         titanium dental implants
