    year  region total  goondiwindi  waggamba  inglewood
0   1933          8696         1931      2468       4297
1   1947          9114         2467      2590       4057
2   1954         10359         2950      2968       4441
3   1961         11265         3274      3123       4868
4   1966         10608         3529      2895       4184
5   1971         10253         3695      2913       3645
6   1976          9509         3741      2539       3229
7   1981          9334         3576      2732       3026
8   1986          9859         4103      2757       2999
9   1991         10181         4331      2898       2952
10  1996          9857         4374      2712       2771
11  2001         10348         4760      2975       2613
12  2006         10399         4873      2951       2575
13  2011         10628         4821      3221       2586
