    rnd       circuit                 gto winning team             gtu winning team              to winning team                tu winning team  results
0     1         texas                      42 corvette               59 peter gregg                   48 mustang                        16 2002  results
1     1         texas                  garrett waddall   peter gregg hurley haywood  juan izquierdo daniel muniz       ross norburn phil dermer  results
2     2       daytona                      23 corvette           1 toad hall racing                   41 mustang                        11 2002  results
3     2       daytona      charlie kemp wilbur pickett   michael keyser bob beasley         jerry crew dan moore                   byron morris  results
4     3      virginia                   99 phil currin               59 peter gregg               27 lou statzer                 8 carson baird  results
5     3      virginia                      phil currin   peter gregg hurley haywood       lou statzer tom dutton         carson baird joe amato  results
6     4     lime rock                   99 phil currin                   31 porsche                    15 camaro                  86 alfa romeo  results
7     4     lime rock                      phil currin         jim locke bob bailey          jocko maggiacomo jr  joe diamante walt simendinger  results
8     5   donnybrooke                      22 corvette           1 toad hall racing                   21 thiokol                 8 carson amato  results
9     5   donnybrooke                       denny long  bob beasley levon pentecost   russ norburn robert hennig         joe amato carson baird  results
10    6    mid - ohio              48 greenwood racing           1 toad hall racing                    17 camaro           24 libra intl racing  results
11    6    mid - ohio  john greenwood marshall robbins   bob beasley michael keyser  vince gimondo billy dingham       john buffum bert everett  results
12    7       alabama           2 holiday inn corvette               59 peter gregg                    47 camaro                        88 opel  results
13    7       alabama                   wilbur pickett               hurley haywood                     tom nehl      dennis shaw steve coleman  results
14    8  watkins glen                      48 corvette               59 peter gregg                    88 camaro               16 gemini racing  results
15    8  watkins glen                     charles west   peter gregg hurley haywood  maurice carter paul nichter                    phil dermer  results
16    9         bryar                      41 corvette        76 silverstone racing                    88 camaro                        84 2002  results
17    9         bryar        bud deshler rodney harris                 george stone  maurice carter paul nichter       hans ziereis andy petery  results
18   10       daytona                        96 camaro           2 toad hall racing                    88 camaro                6 gemini racing  results
