    place              scorer  goals  appearances                team
0       1              gaspar     31           34               vaduz
1       2     samel šabanović     25           34                 wil
2       3       pascal renfer     20           25              lugano
3       3       alain schultz     20           30              wohlen
4       5     christian pouga     18           32          bellinzona
5       5         safet etemi     18           33              gossau
6       7        rainer bieli     17           33     concordia basel
7       8  newton ben katanha     16           26        schaffhausen
8       8       bruno valente     16           30  chaux - de - fonds
9      10        önder çengel     14           26          winterthur
10     11     leandro fonseca     13           30     yverdon - sport
11     12       silvio carlos     11           16                 wil
12     13                neri     10           16          bellinzona
13     13        yane bugnard     10           23    lausanne - sport
14     13    benjamin fischer     10           28               vaduz
15     13       ifet taljević     10           30          bellinzona
16     13         senad lulić     10           33          bellinzona
