    draft year               player                position  round  overall              nfl team
0         1950         truett smith                fullback      7       86   pittsburgh steelers
1         1952      dewey mcconnell          defensive back      3       37      los angeles rams
2         1957         jim crawford                fullback     14      163   pittsburgh steelers
3         1959       dale memmelaar                   guard     21      242     chicago cardinals
4         1961           jerry hill            running back      3       35       baltimore colts
5         1961         chuck lamson          defensive back      4       43     minnesota vikings
6         1966         jerry marion           wide receiver     10      143   pittsburgh steelers
7         1967      ron billingsley        defensive tackle      1       14    san diego chargers
8         1968      jerry depoyster                  kicker      2       37         detroit lions
9         1968          mike lahood                   guard      2       51      los angeles rams
10        1968            jim kiick            running back      5      118        miami dolphins
11        1968           mike dirks                  tackle      5      122   philadelphia eagles
12        1968         paul toscano          defensive back      7      187        houston oilers
13        1969            gene huey           wide receiver      5      123    st louis cardinals
14        1969        david hampton            running back      9      220     green bay packers
15        1969        dennis devlin          defensive back     10      240  new england patriots
16        1970       vic washington           wide receiver      4       87   san francisco 49ers
17        1970           larry nels       defensive lineman     12      298       new york giants
18        1970         joe williams                    back     12      309        dallas cowboys
19        1971           tony mcgee  defensive end - tackle      3       64         chicago bears
20        1972        conrad dobler                   guard      5      110    st louis cardinals
21        1973          nick bebout                  tackle      6      142       atlanta falcons
22        1975          mike mcgraw              linebacker     10      255    st louis cardinals
23        1976      lawrence gaines            running back      1       16         detroit lions
24        1976           aaron kyle          defensive back      1       27        dallas cowboys
25        1978        frank chesley              linebacker      6      157    new orleans saints
26        1979         ken fantetti              linebacker      2       37         detroit lions
27        1980        danny pittman           wide receiver      4       90       new york giants
28        1981          guy frazier              linebacker      4       93    cincinnati bengals
29        1982        jim eliopulos              linebacker      3       81        dallas cowboys
30        1984   chris kolodziejski               tight end      2       52   pittsburgh steelers
31        1984          jay novacek               tight end      6      158    st louis cardinals
32        1989         eric coleman          defensive back      2       43  new england patriots
33        1991        mitch donahue              linebacker      4       95   san francisco 49ers
34        1992           doug rigby           defensive end     11      298    kansas city chiefs
35        1994      ryan yarborough           wide receiver      2       41         new york jets
36        1995  ryan christopherson            running back      5      169  jacksonville jaguars
37        1995        john burrough           defensive end      7      245       atlanta falcons
38        1997        steve scifres                   guard      3       83        dallas cowboys
39        1997           lee vaughn          defensive back      6      187        dallas cowboys
40        1997        marcus harris           wide receiver      7      232         detroit lions
41        2001    patrick chukwurah              linebacker      5      157     minnesota vikings
42        2004        casey bramlet             quarterback      7      218    cincinnati bengals
43        2006       derrick martin          defensive back      6      208      baltimore ravens
44        2007        john wendling          defensive back      6      184         buffalo bills
45        2011      chris prosinski          defensive back      4      121  jacksonville jaguars
