   rank         nation  gold  silver  bronze  total
0     1  united states    50      41      32    123
1     2  great britain    18      23      20     61
2     3          italy    14      15      16     45
3     4      australia    12      11       7     30
4     5       rhodesia    10       5       2     17
5     6   south africa     8       8       3     19
6     7         israel     7       3      11     21
7     8      argentina     6      15      16     37
8     9   west germany     5       2       5     12
9    10    netherlands     4       6       4     14
