    draw          language              artist                                       song                     english translation  place  points
0      1            french       hugues aufray               dès que le printemps revient                     once spring returns      4      14
1      2             dutch      anneke grönloh                        jij bent mijn leven                         you are my life     10       2
2      3         norwegian      arne bendiksen                                     spiral                                       -      8       6
3      4            danish       bjørn tidmand                              sangen om dig                      the song about you      9       4
4      5           finnish     lasse mårtenson                               laiskotellen                                  idling      7       9
5      6            german         udo jürgens                            warum nur warum                          only why , why      6      11
6      7            french              rachel                        le chant de mallory                         mallory 's song      4      14
7      8           english          matt monro                   i love the little things                                       -      2      17
8      9            german           nora nova  man gewöhnt sich so schnell an das schöne  how quickly we get used to nice things     13       0
9     10            french             romuald                    où sont - elles passées                    where have they gone      3      15
10    11        portuguese    antónio calvário                                     oração                                  prayer     13       0
11    12           italian  gigliola cinquetti                               non ho l'età                      i'm not old enough      1      49
12    13  serbo - croatian      sabahudin kurt                      život je sklopio krug               life has come full circle     13       0
13    14           italian      anita traversi                            i miei pensieri                             my thoughts     13       0
14    15            french        robert cogoi                         près de ma rivière                         nearby my river     10       2
15    16           spanish  tim , nelly & tony                                   caracola                                   conch     12       1
