                      english          pali           sanskrit                chinese                                         tibetan
0     mindfulness / awareness          sati              smṛti               念 (niàn)                        trenpa (wylie : dran pa)
1         clear comprehension    sampajañña         samprajaña     正知力 (zhèng zhī lì)                            sheshin (shes bzhin)
2     vigilance / heedfulness      appamada           apramāda  不放逸座 (bù fàng yì zuò)                                 bakyö (bag yod)
3                     ardency        atappa             ātapaḥ         勇猛 (yǒng měng)                                  nyima (nyi ma)
4      attention / engagement    manasikara         manaskāraḥ    如理作意 (rú lǐ zuò yì)                     yila jeypa (yid la byed pa)
5   foundation of mindfulness  satipaṭṭhāna     smṛtyupasthāna           念住 (niànzhù)  trenpa neybar zagpa (dran pa nye bar gzhag pa)
6    mindfulness of breathing   ānāpānasati       ānāpānasmṛti       安那般那 (ānnàbānnà)                      wūk trenpa (dbugs dran pa)
7    calm abiding / cessation       samatha            śamatha                止 (zhǐ)                               shiney (zhi gnas)
8     insight / contemplation     vipassanā          vipaśyanā               観 (guān)                         lhakthong (lhag mthong)
9    meditative concentration       samādhi            samādhi            三昧 (sānmèi)                         tendzin (ting nge dzin)
10      meditative absorption         jhāna             dhyāna             禪 ( chán )                              samten (bsam gtan)
11                cultivation       bhāvanā            bhāvanā           修行 (xiūxíng)                                 gompa (sgom pa)
12    cultivation of analysis             -   vicāra - bhāvanā                      -                             chegom (dpyad sgom)
13    cultivation of settling             -  sthāpya - bhāvanā                      -                              jokgom ('jog sgom)
