    round          date                 grand prix           circuit    motogp winner             moto2 winner             125cc winner  report
0       1      11 april           qatar grand prix            losail  valentino rossi           shoya tomizawa            nicolás terol  report
1       2         2 may         spanish grand prix             jerez    jorge lorenzo               toni elías            pol espargaró  report
2       3        23 may          french grand prix           le mans    jorge lorenzo               toni elías            pol espargaró  report
3       4        6 june         italian grand prix           mugello     dani pedrosa           andrea iannone             marc márquez  report
4       5       20 june         british grand prix       silverstone    jorge lorenzo             jules cluzel             marc márquez  report
5       6       26 june                   dutch tt             assen    jorge lorenzo           andrea iannone             marc márquez  report
6       7        4 july         catalan grand prix         catalunya    jorge lorenzo           yuki takahashi             marc márquez  report
7       8       18 july          german grand prix       sachsenring     dani pedrosa               toni elías             marc márquez  report
8       9       25 july   united states grand prix       laguna seca    jorge lorenzo  no 125cc and moto2 race  no 125cc and moto2 race  report
9      10     15 august  czech republic grand prix              brno    jorge lorenzo               toni elías            nicolás terol  report
10     11     29 august    indianapolis grand prix      indianapolis     dani pedrosa               toni elías            nicolás terol  report
11     12   5 september      san marino grand prix            misano     dani pedrosa               toni elías             marc márquez  report
12     13  19 september          aragon grand prix  motorland aragón     casey stoner           andrea iannone            pol espargaró  report
13     14     3 october        japanese grand prix            motegi     casey stoner               toni elías             marc márquez  report
14     15    10 october       malaysian grand prix            sepang  valentino rossi            roberto rolfo             marc márquez  report
15     16    17 october      australian grand prix    phillip island     casey stoner          alex de angelis             marc márquez  report
16     17    31 october      portuguese grand prix           estoril    jorge lorenzo             stefan bradl             marc márquez  report
