                          name  years           area         authority  decile  roll
0                ahuroa school  1 - 8         ahuroa             state       7    80
1           coatesville school  1 - 6    coatesville             state      10   250
2            dairy flat school  1 - 8     dairy flat             state      10   251
3          hare krishna school  1 - 8          kumeu  state integrated       5    92
4   helensville primary school  1 - 8    helensville             state       5   422
5       huapai district school  1 - 8         huapai             state       9   458
6         kaipara flats school  1 - 6  kaipara flats             state       9    85
7           kaukapakapa school  1 - 8    kaukapakapa             state       8   252
8                 leigh school  1 - 6          leigh             state       5    54
9   mahurangi christian school  1 - 8   snells beach  state integrated       8    37
10             matakana school  1 - 6       matakana             state       9   325
11               pakiri school  1 - 8         pakiri             state       6    19
12              parakai school  1 - 8        parakai             state       3   164
13            riverhead school  1 - 8      riverhead             state       8   290
14        snells beach primary  1 - 6   snells beach             state       8   228
15               tapora school  1 - 8         tapora             state       6    33
16               tauhoa school  1 - 8         tauhoa             state       7    44
17              taupaki school  1 - 8        taupaki             state      10   264
18             tomarata school  1 - 8       tomarata             state       7   144
19             waimauku school  1 - 8       waimauku             state      10   641
20               wainui school  1 - 8         wainui             state      10   209
21             waioneke school  1 - 8       waioneke             state       7    87
22              waitoki school  1 - 8        waitoki             state      10    87
23    warkworth primary school  1 - 6      warkworth             state       8   536
24            wellsford school  1 - 8      wellsford             state       4   328
25             woodhill school  1 - 8       woodhill             state       7   112
