    pick            player    position     nationality               nhl team           college / junior / club team
0     85   arto javanainen  right wing         finland    pittsburgh penguins                        ässät (finland)
1     86        jon morris      centre   united states      new jersey devils     chelmsford high school (ushs - ma)
2     87     david grannis   left wing   united states      los angeles kings  south st paul high school (ushs - mn)
3     88      jack capuano     defence   united states    toronto maple leafs                kent school (ushs - ct)
4     89        jiri poner  right wing  czechoslovakia  minnesota north stars                landshut (west germany)
5     90     timo lehkonen  goaltender         finland    chicago black hawks                      jokerit (finland)
6     91    mats lundstrom   left wing          sweden      detroit red wings                skelleftea aik (sweden)
7     92      scott paluch     defence   united states         st louis blues              franklin park jets (ushl)
8     93   scott schneider      centre   united states          winnipeg jets                colorado college (wcha)
9     94   brett macdonald     defence          canada      vancouver canucks            north bay centennials (ohl)
10    95  gerald johannson     defence          canada     montreal canadiens            swift current broncos (whl)
11    96       joel paunio   left wing         finland         calgary flames                         hifk (finland)
12    97        kari takko  goaltender         finland  minnesota north stars                        assat (finland)
13    98   clark donatelli   left wing   united states       new york rangers           stratford cullitons (mwjbhl)
14    99     brent severyn     defence          canada          winnipeg jets                 seattle breakers (whl)
15   100      brian dobbin  right wing          canada    philadelphia flyers                   london knights (ohl)
16   101    darin sceviour  right wing          canada    chicago black hawks               lethbridge broncos (whl)
17   102      joey rampton   left wing          canada         buffalo sabres       sault ste marie greyhounds (ohl)
18   103       mike bishop  goaltender          canada          boston bruins                   london knights (ohl)
19   104       mike murray      centre          canada     new york islanders                   london knights (ohl)
20   105   richard lambert   left wing          canada        edmonton oilers          henry carr crusaders (metjhl)
