     res      record          opponent                                method                                             event  round                                       location
0    win  11 - 5 - 2   justin grizzard                         tko (punches)                       resurrection fight alliance      1             kearney , nebraska , united states
1   loss  10 - 5 - 2       mike russow                  decision (unanimous)                                           ufc 102      3              portland , oregon , united states
2    win  10 - 4 - 2     eddie sanchez                  decision (unanimous)                        ufc : fight for the troops      3  fayetteville , north carolina , united states
3   loss   9 - 4 - 2   gabriel gonzaga                submission (americana)                                            ufc 86      1             las vegas , nevada , united states
4    win   9 - 3 - 2    antoni hardonk                  decision (unanimous)                                 ufc fight night 9      3             las vegas , nevada , united states
5    win   8 - 3 - 2   ruben villareal              submission (front choke)                       valor fighting : san manuel      1    san bernardino , california , united states
6    win   7 - 3 - 2    derek thornton       submission (rear - naked choke)                     extreme wars 5: battlegrounds      1              honolulu , hawaii , united states
7    win   6 - 3 - 2      ed de kruijf                   submission (armbar)                              venom : first strike      1  huntington beach , california , united states
8    win   5 - 3 - 2      dario amorim                  decision (unanimous)                                    jungle fight 1      3                                manaus , brazil
9   loss   4 - 3 - 2      ed de kruijf    submission (reverse full - nelson)                        it 's showtime : exclusive      1                          haarlem , netherlands
10   win   4 - 2 - 2      errol maduro                            submission                      ufo europe : free fight gala  n / a                         kijkduin , netherlands
11  loss   3 - 2 - 2  mikhail ilyukhin  technical submission (achilles lock)                rings : king of kings 1999 block a      1                                  tokyo , japan
12   win   3 - 1 - 2        mario neto                  submission (kneebar)             wvc 9: world vale tudo championship 9      1                                          aruba
13  loss   2 - 1 - 2       evan tanner         technical submission (kimura)  pancrase : 1998 neo - blood tournament , round 2      1                                          japan
14   win   2 - 0 - 2      martin emmen                   submission (armbar)  pancrase : 1998 neo - blood tournament , round 1      1                                          japan
15   win   1 - 0 - 2     daisuke ishii                  decision (unanimous)  pancrase : 1998 neo - blood tournament , round 1      2                                          japan
16  draw   0 - 0 - 2     daisuke ishii                                  draw                                pancrase : alive 4      2                                          japan
17  draw   0 - 0 - 1     kenji akiyama                                  draw                                daidojuku : wars 4      5                                          japan
