    rank                nation  gold  silver  bronze  total
0      1         united states    22      15      10     47
1      2                canada     5       5       2     12
2      3             argentina     2       2       1      5
3      4             venezuela     1       3       3      7
4      5                  cuba     1       3       1      5
5      6                mexico     1       1       1      3
6      7                 chile     1       0       0      1
7      8                brazil     0       2       6      8
8      9               jamaica     0       1       1      2
9     10             guatemala     0       1       0      1
10    11   trinidad and tobago     0       0       2      2
11    11              barbados     0       0       2      2
12    13                panama     0       0       1      1
13    13           puerto rico     0       0       1      1
14    13               uruguay     0       0       1      1
15    13  netherlands antilles     0       0       1      1
