    pick              player    position    nationality                 nhl team           college / junior / club team
0    129        yvon rolando  right wing         canada       new york islanders          drummondville rangers (qmjhl)
1    130          pierre roy     defence         canada           atlanta flames                quebec remparts (qmjhl)
2    131         steve stone  right wing         canada        vancouver canucks           niagara falls flyers (omjhl)
3    132        jean lamarre  right wing         canada           atlanta flames                quebec remparts (qmjhl)
4    133          bill ennos  right wing         canada       new york islanders                  vancouver nats (wchl)
5    134       denis meloche      centre         canada  california golden seals          drummondville rangers (qmjhl)
6    135          ray boutin  goaltender         canada      philadelphia flyers                sorel eperviers (qmjhl)
7    136         jay babcock   left wing         canada      pittsburgh penguins                 london knights (omjhl)
8    137  pierre archambault     defence         canada         new york rangers       saint - jérôme alouettes (qmjhl)
9    138      george kuzmicz     defence         canada        detroit red wings              cornell university (ecac)
10   139        pat boutette      centre         canada      toronto maple leafs  university of minnesota duluth (wcha)
11   140      glen mikkelson  right wing         canada    minnesota north stars             brandon wheat kings (wchl)
12   141      gary donaldson  right wing         canada      chicago black hawks                victoria cougars (wchl)
13   142       eddie bumacco   left wing         canada       montreal canadiens        university of notre dame (wcha)
14   143     garry schofield     defence  united states      toronto maple leafs             clarkson university (ecac)
