    district                             municipalities served              judge of probate                 judges residence    location of court
0          1                                          hartford     robert k killian , jr (d)                         hartford             hartford
1          2                                     west hartford            sydney w elkin (d)                    west hartford        west hartford
2          4            east windsor , south windsor , windsor   marianne lassman fisher (d)                    south windsor        south windsor
3          5                                     east hartford          allan t driscoll (d)                    east hartford        east hartford
4          6                              glastonbury , hebron           peter jay alter (d)  south glastonbury (glastonbury)          glastonbury
5          7             newington , rocky hill , wethersfield            robert randich (d)                        newington            newington
6          8                              berlin , new britain        walter a clebowicz (d)                      new britain          new britain
7          9                 avon , canton , granby , simsbury          cynthia c becker (r)                             avon             simsbury
8         10                           burlington , farmington             evelyn m daly (d)                       farmington           farmington
9         11                       enfield , somers , stafford          timothy r keeney (r)             somersville (somers)              enfield
10        12                                ellington , vernon       james purnell , iii (r)                           vernon               vernon
11        13          andover , bolton , columbia , manchester           michael m darby (d)                       manchester           manchester
12        15      cromwell , durham , middlefield , middletown           joseph d marino (d)                       middletown           middletown
13        16                                           meriden             brian t mahon (d)                          meriden              meriden
14        17                                       wallingford      philip a wright , jr (d)                      wallingford          wallingford
15        18                            cheshire , southington        matthew j jalowiec (r)                         cheshire             cheshire
16        19                   bristol , plainfield , plymouth            andre d dorval (d)                          bristol              bristol
17        20                               waterbury , wolcott         thomas p brunnock (d)                        waterbury            waterbury
18        21  beacon falls , naugatuck , middlebury , prospect           peter e mariano (r)                        naugatuck            naugatuck
19        25       coventry , mansfield , tolland , willington           claire c twerdy (d)                         coventry              tolland
20        27    canterbury , killingly , plainfield , sterling         david a griffiths (d)            danielson (killingly)           plainfield
21        30  groton , ledyard , north stonington , stonington           nicholas kepple (d)                       stonington               groton
22        31                            new london , waterford           mathew h greene (d)                       new london           new london
23        32          east lyme , montville , old lyme , salem        jeffrey a mcnamara (r)                        east lyme  niantic (east lyme)
24        34                                guilford , madison           joel e helander (r)                         guilford              madison
25        35                         branford , north branford          frank j forgione (r)       northford (north branford)             branford
26        36                          east haven , north haven          michael r brandt (r)                      north haven           east haven
27        37                                  bethany , hamden        salvatore l diglio (d)                           hamden               hamden
28        38                                         new haven              john a keyes (d)                        new haven            new haven
29        39                                        west haven          mark j degennaro (d)                       west haven           west haven
30        40                                  milford , orange  beverly streit - kefalas (d)                          milford              milford
31        41            ansonia , derby , seymour , woodbridge          clifford d hoyle (d)                          ansonia              ansonia
32        42                                           shelton            fred j anthony (r)                          shelton              shelton
33        43                                           danbury            dianne e yamin (r)                          danbury              danbury
34        45           bethel , newtown , ridgefield , redding        joseph a egan , jr (r)                       ridgefield               bethel
35        46                        easton , monroe , trumbull             john p chiota (r)                         trumbull             trumbull
36        47                                         stratford             f paul kurmay (r)                        stratford            stratford
37        48                                        bridgeport              paul j ganim (d)                       bridgeport           bridgeport
38        49                                         fairfield           daniel f caruso (r)                        fairfiled            fairfield
39        50                                 weston , westport           kevin m o'grady (d)                           weston             westport
40        51                                  norwalk , wilton      anthony j depanfilis (r)                         westport              norwalk
41        52                               darien , new canaan          michael p murray (r)                           darien               darien
42        53                                          stamford         gerald m fox , jr (d)                         stamford             stamford
