   pos  car           driver       make                        team
0    1   30      todd bodine     toyota              germain racing
1    2   33     ron hornaday  chevrolet  kevin harvick incorporated
2    3   51       kyle busch     toyota    billy ballew motorsports
3    4    6  colin braun (r)       ford         roush fenway racing
4    5    9     mike wallace     toyota              germain racing
5    6   81   landon cassill  chevrolet      randy moss motorsports
6    7   16  brian scott (r)     toyota          xpress motorsports
7    8    7         t j bell  chevrolet          the racer 's group
8    9    5     mike skinner     toyota              germain racing
9   10    8    chad mccumbee  chevrolet             mrd motorsports
