    year                     actor                             award                                  motion picture     result
0   1960             juanita moore           best supporting actress                               imitation of life  nominated
1   1960         dorothy dandridge  best actress - musical or comedy                                    porgy & bess  nominated
2   1962            claudia mcneil              best actress - drama                             a raisin in the sun  nominated
3   1968             beah richards           best supporting actress                   guess who 's coming to dinner  nominated
4   1969             abbey lincoln           best supporting actress                                 for love of ivy  nominated
5   1971               lola falana                new star - actress                      the liberation of lb jones  nominated
6   1973                diana ross                new star - actress                            lady sings the blues        won
7   1973                diana ross              best actress - drama                            lady sings the blues  nominated
8   1973              cicely tyson              best actress - drama                                         sounder  nominated
9   1975           diahann carroll  best actress - musical or comedy                                        claudine  nominated
10  1981                irene cara  best actress - musical or comedy                                            fame  nominated
11  1984            jennifer beals  best actress - musical or comedy                                      flashdance  nominated
12  1986             oprah winfrey           best supporting actress                                the color purple  nominated
13  1986           whoopi goldberg              best actress - drama                                the color purple        won
14  1991           whoopi goldberg           best supporting actress                                           ghost        won
15  1993           whoopi goldberg  best actress - musical or comedy                                      sister act  nominated
16  1993             alfre woodard           best supporting actress                                    passion fish  nominated
17  1994            angela bassett  best actress - musical or comedy                  what 's love got to do with it        won
18  1997  marianne jean - baptiste           best supporting actress                                  secrets & lies  nominated
19  1998                 pam grier  best actress - musical or comedy                                    jackie brown  nominated
20  2002               halle berry              best actress - drama                                 monster 's ball  nominated
21  2003             queen latifah           best supporting actress                                         chicago  nominated
22  2007           jennifer hudson           best supporting actress                                      dreamgirls        won
23  2007           beyoncé knowles  best actress - musical or comedy                                      dreamgirls  nominated
24  2009               viola davis           best supporting actress                                           doubt  nominated
25  2010                  mo'nique           best supporting actress  precious : based on the novel push by sapphire        won
26  2010           gabourey sidibe              best actress - drama  precious : based on the novel push by sapphire  nominated
27  2011               halle berry              best actress - drama                               frankie and alice  nominated
28  2012               viola davis              best actress - drama                                        the help  nominated
29  2012           octavia spencer           best supporting actress                                        the help        won
