     rank         nation  gold  silver  bronze  total
0       1         canada     2       1       0      3
1       2         brazil     2       0       1      3
2       3  great britain     1       1       1      3
3       4        hungary     1       0       1      2
4       5        austria     1       0       0      1
5       5        romania     1       0       0      1
6       7        germany     0       1       1      2
7       7          italy     0       1       1      2
8       7         poland     0       1       1      2
9       7          spain     0       1       1      2
10      7  united states     0       1       1      2
11     12         russia     0       1       0      1
12  total          total     8       8       8     24
