    round            player    position    nationality  college / junior / club team (league)
0       2        don mclean     defense         canada                 sudbury wolves ( oha )
1       3        bob sirois  right wing         canada  montreal red white and blue ( qmjhl )
2       4  randy andreachuk      center         canada               kamloops chiefs ( wchl )
3       5    dennis sobchuk      center         canada                     regina pats (wchl)
4       6    willie friesen   left wing         canada           swift current broncos (wchl)
5       7    reggie lemelin  goaltender         canada             sherbrooke beavers (qmjhl)
6       8       steve short   left wing  united states          minnesota junior stars (mjhl)
7       9    peter mckenzie     defense         canada  st francis xavier university ( ciau )
8      10   marcel labrosse      center         canada             shawinigan dynamos (qmjhl)
9      11      scott jessee  right wing  united states         michigan tech huskies ( wcha )
10     12      richard guay  goaltender         canada          chicoutimi saguenéens (qmjhl)
11     13       brad morrow     defense  united states        minnesota golden gophers (wcha)
12     14    craig arvidson   left wing  united states    ‪minnesota - duluth bulldogs (wcha)
