                               name                      took office                      left office                            party               district residence
0   district created march 4 , 1875  district created march 4 , 1875  district created march 4 , 1875  district created march 4 , 1875  district created march 4 , 1875
1                      john hancock                   march 4 , 1875                   march 3 , 1877                         democrat                           austin
2           dewitt clinton giddings                   march 4 , 1877                   march 3 , 1879                         democrat                          brenham
3           george washington jones                   march 4 , 1879                   march 3 , 1883                        greenback                          bastrop
4              james w throckmorton                   march 4 , 1883                   march 3 , 1887                         democrat                         mckinney
5                        silas hare                   march 4 , 1887                   march 3 , 1891                         democrat                          sherman
6                   joseph w bailey                   march 4 , 1891                   march 3 , 1901                         democrat                      gainesville
7                  choice b randell                   march 4 , 1901                   march 3 , 1903                         democrat                          sherman
8                james andrew beall                   march 4 , 1903                   march 3 , 1915                         democrat                       waxahachie
9                  hatton w sumners                   march 4 , 1915                 january 3 , 1947                         democrat                           dallas
10           joseph franklin wilson                 january 3 , 1947                 january 3 , 1955                         democrat                           dallas
11             bruce reynolds alger                 january 3 , 1955                 january 3 , 1965                       republican                           dallas
12                     earle cabell                 january 3 , 1965                 january 3 , 1973                         democrat                           dallas
13                    alan steelman                 january 3 , 1973                 january 3 , 1977                       republican                           dallas
14                       jim mattox                 january 3 , 1977                 january 3 , 1983                         democrat                           dallas
15                    john w bryant                 january 3 , 1983                 january 3 , 1997                         democrat                           dallas
16                    pete sessions                 january 3 , 1997                 january 3 , 2003                       republican                           dallas
17                   jeb hensarling                 january 3 , 2003                          present                       republican                           dallas
