                    nation  gold  silver  bronze  total
0                  ukraine     4       0       1      5
1                   russia     2       3       0      5
2                  armenia     2       1       0      3
3                  belarus     1       2       0      3
4                 bulgaria     1       1       0      2
5                  england     1       0       0      1
6                  hungary     0       1       3      4
7                  germany     0       1       2      3
8                   sweden     0       1       1      2
9                    spain     0       1       0      1
10                 ireland     0       0       3      3
11                  france     0       0       2      2
12                 moldova     0       0       2      2
13                  turkey     0       0       2      2
14  bosnia and herzegovina     0       0       1      1
15                  latvia     0       0       1      1
16               macedonia     0       0       1      1
17                  poland     0       0       1      1
18                 romania     0       0       1      1
19                   wales     0       0       1      1
20                   total    11      11      22     44
