     rank         nation  gold  silver  bronze  total
0       1         russia     5       2       2      9
1       2          japan     5       0       1      6
2       3        georgia     2       0       2      4
3       4     uzbekistan     2       0       0      2
4       5  united states     1       6       2      9
5       6       bulgaria     1       1       1      3
6       6        ukraine     1       1       1      3
7       8         poland     1       1       0      2
8       8         sweden     1       1       0      2
9      10     azerbaijan     1       0       0      1
10     10         israel     1       0       0      1
11     12           cuba     0       2       1      3
12     13    south korea     0       1       2      3
13     14        hungary     0       1       1      2
14     14           iran     0       1       1      2
15     16        belarus     0       1       0      1
16     16        germany     0       1       0      1
17     16          egypt     0       1       0      1
18     16        moldova     0       1       0      1
19     20          china     0       0       2      2
20     20     kazakhstan     0       0       2      2
21     22         canada     0       0       1      1
22     22        romania     0       0       1      1
23     22       slovakia     0       0       1      1
24  total          total    21      21      21     63
