   rank                     cyclist                 team      time  uci protour points
0     1  alejandro valverde ( esp )     caisse d'epargne  5h 29'10                  40
1     2   alexandr kolobnev ( rus )   team csc saxo bank        st                  30
2     3     davide rebellin ( ita )         gerolsteiner        st                  25
3     4       paolo bettini ( ita )           quick step        st                  20
4     5   franco pellizotti ( ita )             liquigas        st                  15
5     6       denis menchov ( rus )             rabobank        st                  11
6     7      samuel sánchez ( esp )  euskaltel - euskadi        st                   7
7     8    stéphane goubert ( fra )   ag2r - la mondiale       + 2                   5
8     9     haimar zubeldia ( esp )  euskaltel - euskadi       + 2                   3
9    10     david moncoutié ( fra )              cofidis       + 2                   1
