                       player  minutes  field goals  rebounds  assists  steals  blocks  points
0               tina thompson      943          180       157       48      22      23     520
1              sheryl swoopes     1070          181       153       91      47      16     459
2               michelle snow      893          104       239       31      28      35     276
3              sheila lambert      788           75        68       88      26       4     197
4             dominique canty      770           63        84       64      32       1     177
5        kedra holland - corn      703           59        66       53      40       3     177
6             tiffani johnson      660           59       122       27       9      17     142
7             felicia ragland      517           44        67       38      25       3     118
8                octavia blue      155           42        21        5       1       0      44
9           lucienne berthieu      134           12        27        4       6       2      37
10  pollyanna johns kimbrough      157            3        29        1       4       3      22
11            latonya johnson       36            2         1        1       2       0       6
