   city / municipality  no of barangays  area (km square)  population (2010 census)  pop density (per km square)
0               angono               10             26.22                    102407                      3905.68
1             antipolo               16            306.10                    677741                      2214.12
2                baras               10             84.93                     32609                       383.95
3           binangonan               40             66.34                    249872                      3766.54
4               cainta                7             42.99                    311845                      7253.90
5              cardona               18             28.56                     47414                      1660.15
6             jalajala               11             44.12                     30074                       681.64
7               morong                8             37.58                     52194                      1388.88
8              pililla                9             69.95                     59527                       850.99
9            rodriguez               11            312.70                    280904                       898.32
10           san mateo               15             55.09                    205255                      3725.81
11               tanay               19            200.00                     98879                       494.30
12              taytay                5             38.80                    288956                      7447.32
