    pick     round          player        position          college
0      7   round 1   ken ruettgers           guard              usc
1     71   round 3      rich moran           guard  san diego state
2     98   round 4  walter stanley   wide receiver       mesa state
3    125   round 5     brian noble      linebacker    arizona state
4    155   round 6      mark lewis       tight end        texas a&m
5    171   round 7     eric wilson      linebacker         maryland
6    182   round 7   gary ellerson    running back        wisconsin
7    209   round 8      ken stills  defensive back        wisconsin
8    239   round 9  morris johnson           guard      alabama a&m
9    266  round 10  ronnie burgess  defensive back      wake forest
10   294  round 11      joe shield     quarterback          trinity
11   323  round 12       jim meyer          punter    arizona state
