            date         visiting team     final score             host team                                     stadium
0    september 4   washington redskins          7 - 16       new york giants                              giants stadium
1    september 7         chicago bears         29 - 13    indianapolis colts                           lucas oil stadium
2   september 14   pittsburgh steelers          10 - 6      cleveland browns                    cleveland browns stadium
3   september 21        dallas cowboys         27 - 16     green bay packers                               lambeau field
4   september 28   philadelphia eagles         20 - 24         chicago bears                               soldier field
5      october 5   pittsburgh steelers         26 - 21  jacksonville jaguars              jacksonville municipal stadium
6     october 12  new england patriots         10 - 30    san diego chargers                            qualcomm stadium
7     october 19      seattle seahawks         10 - 20  tampa bay buccaneers                       raymond james stadium
8     november 2  new england patriots         15 - 18    indianapolis colts                           lucas oil stadium
9     november 9       new york giants         36 - 31   philadelphia eagles                     lincoln financial field
10   november 16        dallas cowboys         14 - 10   washington redskins                                  fedexfield
11   november 23    indianapolis colts         23 - 20    san diego chargers                            qualcomm stadium
12   november 30         chicago bears         14 - 34     minnesota vikings                 hubert h humphrey metrodome
13    december 7   washington redskins         10 - 24      baltimore ravens                            m&t bank stadium
14   december 14       new york giants          8 - 20        dallas cowboys                               texas stadium
15   december 21     carolina panthers  28 - 34 ( ot )       new york giants                              giants stadium
16   december 28        denver broncos         21 - 52    san diego chargers                            qualcomm stadium
17     january 3       atlanta falcons         24 - 30     arizona cardinals               university of phoenix stadium
18     january 3    indianapolis colts    17 - 23 (ot)    san diego chargers                            qualcomm stadium
19    february 1   pittsburgh steelers         27 - 23     arizona cardinals  raymond james stadium ( super bowl xliii )
