         year         men 's singles       women 's singles                        men 's doubles                         women 's doubles                            mixed doubles
0        1991  arthur chatschatourow           inga beridse                        no competition                           no competition                           no competition
1   1992 1996         no competition         no competition                        no competition                           no competition                           no competition
2        1997         mjawia malchas     gaiane tschachoian        mjawia malchas georgi enukidse    gaiane tschachoian ia chartonischwili          mjawia malchas chatuna chelidse
3        1998         mjawia malchas     gaiane tschachoian        mjawia malchas georgi enukidse      gaiane tschachoian chatuna chelidse        mjawia malchas gaiane tschachoian
4   1999 2000         no competition         no competition                        no competition                           no competition                           no competition
5        2001         mjawia malchas     gaiane tschachoian        mjawia malchas georgi enukidse  natia marianaschwili tschachoian gaiane        mjawia malchas gaiane tschachoian
6        2002  mamuka dsodsuaschwili     gaiane tschachoian                        no competition                           no competition                           no competition
7        2003          edgar eremian     gaiane tschachoian                        no competition                           no competition                           no competition
8        2004    nodar sardlischwili  natela mirianaschwili     nodar sardlischwili edgar eremian       natela mirianaschwili ina davidowa         nodar sardlischwili ina davidowa
9        2005  mamuka dsodsuaschwili           ina davidowa  mamuka dsodsuaschwili gia djanelidse       natela mirianaschwili ina davidowa  mamuka dsodsuaschwili natela absianidse
10  2006 2007         no competition         no competition                        no competition                           no competition                           no competition
