     rank          nation  gold  silver  bronze  total
0       1         hungary     5       2       0      7
1       2           china     5       1       1      7
2       3            iran     4       0       0      4
3       4          france     1       3       2      6
4       5         vietnam     1       2       0      3
5       6         germany     1       0       2      3
6       7           japan     1       0       1      2
7       7   united states     1       0       1      2
8       9         belgium     1       0       0      1
9       9            cuba     1       0       0      1
10      9       hong kong     1       0       0      1
11      9       indonesia     1       0       0      1
12     13        malaysia     0       2       2      4
13     14          russia     0       2       0      2
14     15           italy     0       1       1      2
15     15        portugal     0       1       1      2
16     15          turkey     0       1       1      2
17     15         ukraine     0       1       1      2
18     19          brazil     0       1       0      1
19     19          canada     0       1       0      1
20     19           chile     0       1       0      1
21     19  czech republic     0       1       0      1
22     19           spain     0       1       0      1
23     19           india     0       1       0      1
24     19       venezuela     0       1       0      1
25     26       argentina     0       0       1      1
26     26        colombia     0       0       1      1
27     26          mexico     0       0       1      1
28     26     netherlands     0       0       1      1
29     26          poland     0       0       1      1
30  total           total    23      23      18     64
