                                                 8:00                                               8:30                         9:00                          9:30                 10:00
0                                    the bachelorette                                   the bachelorette             the bachelorette              the bachelorette              the mole
1            high school musical : get in the picture           high school musical : get in the picture                    wanna bet                     wanna bet              the mole
2                        the big bang theory (reruns)                     how i met your mother (reruns)  two and a half men (reruns)  rules of engagement (reruns)  csi : miami (reruns)
3                                gossip girl (reruns)                               gossip girl (reruns)       one tree hill (reruns)        one tree hill (reruns)     local programming
4                                      bones (reruns)                                     bones (reruns)               house (reruns)                house (reruns)     local programming
5   terminator : the sarah connor chronicles (reruns)  terminator : the sarah connor chronicles (reruns)        prison break (reruns)         prison break (reruns)     local programming
6                           celebrity exposé (reruns)                          celebrity exposé (reruns)    celebrity exposé (reruns)     celebrity exposé (reruns)     local programming
7                           celebrity exposé (reruns)                          celebrity exposé (reruns)      decision house (reruns)       decision house (reruns)     local programming
8                             decision house (reruns)                            decision house (reruns)      decision house (reruns)       decision house (reruns)     local programming
9                           celebrity exposé (reruns)                          celebrity exposé (reruns)    celebrity exposé (reruns)     celebrity exposé (reruns)     local programming
10                                american gladiators                                american gladiators               nashville star                nashville star          dateline nbc
