       season                          club                national league                 national cup                   european cup
0   1964 - 65                   real madrid        spanish national league  spanish generalísimo 's cup  fiba european champion 's cup
1   1969 - 70  pallacanestro varèse (ignis)              italian a1 league                  italian cup  fiba european champion 's cup
2   1972 - 73  pallacanestro varèse (ignis)              italian a1 league                  italian cup  fiba european champion 's cup
3   1973 - 74                   real madrid        spanish national league  spanish generalísimo 's cup  fiba european champion 's cup
4   1976 - 77              maccabi tel aviv         israeli premier league            israeli state cup  fiba european champion 's cup
5   1980 - 81              maccabi tel aviv         israeli premier league            israeli state cup  fiba european champion 's cup
6   1984 - 85                     kk cibona  yugoslav first federal league                 yugoslav cup  fiba european champion 's cup
7   1986 - 87       olimpia milano (tracer)              italian a1 league                  italian cup  fiba european champion 's cup
8   1989 - 90       kk split (jugoplastika)  yugoslav first federal league                 yugoslav cup  fiba european champion 's cup
9   1990 - 91             kk split (pop 84)  yugoslav first federal league                 yugoslav cup  fiba european champion 's cup
10  1991 - 92                   kk partizan  yugoslav first federal league                 yugoslav cup           fiba european league
11  1996 - 97                    olympiacos                greek a1 league                    greek cup                fiba euroleague
12  2000 - 01       virtus bologna (kinder)              italian a1 league                  italian cup                     euroleague
13  2000 - 01              maccabi tel aviv         israeli premier league            israeli state cup               fiba suproleague
14  2002 - 03                  fc barcelona             spanish acb league          spanish king 's cup                     euroleague
15  2003 - 04              maccabi tel aviv         israeli premier league            israeli state cup                     euroleague
16  2004 - 05              maccabi tel aviv         israeli premier league            israeli state cup                     euroleague
17  2005 - 06                   cska moscow          russian superleague a                  russian cup                     euroleague
18  2006 - 07                 panathinaikos                greek a1 league                    greek cup                     euroleague
19  2008 - 09                 panathinaikos                greek a1 league                    greek cup                     euroleague
