                    club           head coach           city                             stadium        2003 - 2004 season
0   académica de coimbra  joão carlos pereira        coimbra           estádio cidade de coimbra          13th in the liga
1             belenenses     carlos carvalhal         lisbon                  estádio do restelo          15th in the liga
2                benfica  giovanni trapattoni         lisbon                      estádio da luz           2nd in the liga
3               boavista        jaime pacheco          porto       estádio do bessa - século xxi           8th in the liga
4                  braga    jesualdo ferreira          braga    estádio municipal de braga - axa           5th in the liga
5        estoril - praia                litos        estoril     estádio antónio coimbra da mota  1st in the liga de honra
6            gil vicente          luís campos       barcelos          estádio cidade de barcelos          12th in the liga
7        união de leiria         vítor pontes         leiria         estádio dr magalhães pessoa          10th in the liga
8               penafiel     manuel fernandes       penafiel       estádio municipal 25 de abril  3rd in the liga de honra
9               marítimo        manuel cajuda        funchal               estádio dos barreiros           6th in the liga
10              nacional        casemiro mior        funchal                  estádio da madeira           4th in the liga
11           beira - mar       mick wadsworth         aveiro         estádio municipal de aveiro          11th in the liga
12            moreirense       vítor oliveira      guimarães               estádio do moreirense           9th in the liga
13                 porto        luigi delneri          porto                   estádio do dragão           1st in the liga
14           sporting cp         josé peseiro         lisbon  estádio josé alvalade - século xxi           3rd in the liga
15               rio ave         carlos brito  vila do conde                   estádio dos arcos           7th in the liga
16  vitória de guimarães       manuel machado      guimarães          estádio d afonso henriques          14th in the liga
17    vitória de setúbal        josé couceiro        setúbal                   estádio do bonfim  2nd in the liga de honra
