     res  record                opponent                                 method                                    event  round   time                     location
0   loss  14 - 9    vladimir matyushenko                      tko (knee injury)                           jungle fight 4      1   0:26              manaus , brazil
1   loss  14 - 8       martin malkhasyan                   decision (unanimous)              m - 1 global heavyweight gp      2   5:00              moscow , russia
2   loss  14 - 7  aleksander emelianenko                   decision (unanimous)             m - 1 global middleweight gp      3   5:00       st petersburg , russia
3    win  14 - 6           bobby hoffman                   submission (punches)                           jungle fight 2      2  n / a              manaus , brazil
4   loss  13 - 6            travis wiuff                   decision (unanimous)                                heat fc 2      3   5:00               natal , brazil
5    win  13 - 5            ben rothwell                         ko (head kick)                                heat fc 1      1  n / a               natal , brazil
6    win  12 - 5           marcelo souza                  tko (doctor stoppage)                   meca world vale tudo 6      1   7:08            curitiba , brazil
7   loss  11 - 5             ian freeman                   decision (unanimous)                       hooknshoot kings 1      3   5:00         evansville , indiana
8   loss  11 - 4            gilbert yvel                       ko (flying knee)                         2 hot 2 handle 2      1   2:20  rotterdam , the netherlands
9   loss  11 - 3           chris haseman                   decision (unanimous)       rings : king of kings 2000 block b      2   5:00                osaka , japan
10   win  11 - 2           tra telligman                  tko (corner stoppage)                                  pride 9      2  10:00               nagoya , japan
11   win  10 - 2              gary myers                submission (broken leg)  international vale tudo championship 10      1   8:13           sao paulo , brazil
12  loss   9 - 2        igor vovchanchyn                   decision (unanimous)                                  pride 6      3   5:00             yokohama , japan
13   win   9 - 1            pedro otavio                   submission (punches)  international vale tudo championship 10      1   6:19                       brazil
14   win   8 - 1      branden lee hinkle          submission (guillotine choke)   international vale tudo championship 8      1   4:32             aracaju , brazil
15  loss   7 - 1           dave beneteau                   decision (unanimous)                                   ufc 15      1  15:00   bay st louis , mississippi
16   win   7 - 0           paul varelans               tko (elbows and punches)                          brazil open '97      1   2:33                       brazil
17   win   6 - 0         kevin randleman  technical submission (triangle choke)           universal vale tudo fighting 6      1  22:24                       brazil
18   win   5 - 0              dan bobish            submission (triangle choke)           universal vale tudo fighting 6      1   7:47                       brazil
19   win   4 - 0             geza kalman          submission (guillotine choke)           universal vale tudo fighting 6      1   3:02                       brazil
20   win   3 - 0      alexander rafalski                  tko (corner stoppage)       martial arts reality superfighting      1   1:00         birmingham , alabama
21   win   2 - 0             john dixson                   submission (punches)           universal vale tudo fighting 2      1   1:38                       brazil
22   win   1 - 0        mikhail ilyukhin        submission (rear - naked choke)           universal vale tudo fighting 1      2   3:15                        japan
