    pick                    player    position     nationality                 nhl team              college / junior / club team
0     79          ruslan batyrshin     defence          russia            winnipeg jets                    dynamo moscow (russia)
1     80         alexander osadchy     defence          russia          san jose sharks                      cska moscow (russia)
2     81              marian kacir  right wing  czech republic      tampa bay lightning                  owen sound platers (ohl)
3     82               joel gagnon  goaltender          canada  mighty ducks of anaheim                     oshawa generals (ohl)
4     83             bill mccauley      centre   united states         florida panthers                detroit jr red wings (ohl)
5     84            trevor roenick  right wing   united states         hartford whalers                  boston jr bruins (nejhl)
6     85               adam wiesel     defence   united states       montreal canadiens              springfield olympics (nejhl)
7     86          sergei olympiyev   left wing         belarus         new york rangers                 hc dynamo minsk (belarus)
8     87                 chad lang  goaltender          canada             dallas stars                  peterborough petes (ohl)
9     88          charles paquette     defence          canada            boston bruins                sherbrooke faucons (qmjhl)
10    89              jamal mayers      centre          canada           st louis blues        western michigan university (ccha)
11    90                 eric daze   left wing          canada       chicago blackhawks                 beauport harfangs (qmjhl)
12    91              cosmo dupaul      centre          canada          ottawa senators              victoriaville tigres (qmjhl)
13    92            warren luhning  right wing          canada       new york islanders                   calgary royals ( ajhl )
14    93            ravil gusmanov  right wing          russia            winnipeg jets              traktor chelyabinsk (russia)
15    94                  bob wren   left wing          canada        los angeles kings                detroit jr red wings (ohl)
16    95               jason smith     defence          canada           calgary flames             princeton university ( ecac )
17    96              marty murray      centre          canada           calgary flames                 brandon wheat kings (whl)
18    97              john jakopin     defence          canada        detroit red wings          st michael 's buzzers ( metjhl )
19    98             dieter kochan  goaltender          canada        vancouver canucks                kelowna spartans ( bcjhl )
20    99     jean - francois houle   left wing          canada       montreal canadiens          northwood school (hs - new york)
21   100             benoit larose     defence          canada        detroit red wings                       laval titan (qmjhl)
22   101               ryan tocher     defence          canada         quebec nordiques               niagara falls thunder (ohl)
23   102               patrik pysz      centre          poland       chicago blackhawks                        augsburg (germany)
24   103               shawn bates      centre   united states            boston bruins  medford high school (hs - massachusetts)
25   104  jonas andersson - junkka     defence          sweden      pittsburgh penguins                           kiruna (sweden)
