     rank              nation  gold  silver  bronze  total
0       1               china     7       4       1     12
1       2              russia     2       4       4     10
2       3            thailand     1       3       1      5
3       4         south korea     1       2       0      2
4       5          azerbaijan     1       0       0      1
5       5      chinese taipei     1       0       0      1
6       5                iran     1       0       0      1
7       5          kazakhstan     1       0       0      1
8       9             romania     0       1       1      2
9      10             moldova     0       1       0      1
10     11               qatar     0       0       2      2
11     12            bulgaria     0       0       1      1
12     12  dominican republic     0       0       1      1
13     12              france     0       0       1      1
14     12            slovakia     0       0       1      1
15     12       united states     0       0       1      1
16     12             vietnam     0       0       1      1
17  total               total    15      15      15     45
