        nat                    name   since  goals  transfer fee            notes
0       den               ankergren    2007      0   undisclosed     leeds united
1       eng  richardson ( captain )    2001      5  youth system     leeds united
2       eng              huntington    2007      2          200k        bbc sport
3       ire                 douglas    2005     11   undisclosed       sky sports
4       ang             rui marques    2005      4          free     leeds united
5       svk                michalík    2007      1          200k     leeds united
6       eng                 prutton    2007      4          free     leeds united
7   aus eng                kilkenny    2008      5          150k  birmingham city
8       eng                beckford    2006     54           50k     leeds united
9       arg                 becchio    2008     19          300k     leeds united
10      ire                 sheehan    2008      2   undisclosed     leeds united
11      eng                   lucas    2007      0          free     leeds united
12      usa                  grella    2009      0          free     leeds united
13      eng                  howson    2006     12  youth system     leeds united
14      eng                   delph    2007      6  youth system     leeds united
15      eng                 johnson    2008      4          250k        bbc sport
16      eng                robinson    2008      6          free     leeds united
17      eng                  parker    2007      1  youth system     leeds united
18  cod zai                  kandol    2006     12          200k     leeds united
19  ngr eng                showunmi    2008      5          free     leeds united
20      eng                  hughes    2007      1   undisclosed     leeds united
21      sco               snodgrass    2008     11           35k     leeds united
22      sco                 sweeney    2008      0          150k     leeds united
23      sco                  martin    2007      0   undisclosed     leeds united
24  ngr eng                   sodje  2009 2      0          loan     leeds united
25      eng               dickinson  2009 2      0          loan     leeds united
26      eng                flahavan  2009 2      0          loan     leeds united
27      eng                 elliott    2007      0  youth system     leeds united
28      eng                    webb    2008      0  youth system     leeds united
29      eng                   white    2008      0  youth system     leeds united
30      eng              falkingham    2008      0  youth system     leeds united
31      eng           naylor ( vc )    2009      1          free     leeds united
