             manager          years  games  wins  losses
0       chuck goggin           1978    141    64      77
1    george scherger           1979    144    83      61
2      stump merrill    1980 - 1981    286   178     108
3       johnny oates           1982    144    77      67
4     doug holmquist           1983    146    88      58
5       jim marshall           1984    147    74      73
6          lee walls           1985      7     3       4
7       leon roberts           1985      7     2       5
8   gordon mackenzie           1985    127    66      61
9       leon roberts           1986    142    68      74
10         jack lind    1987 - 1988    217   102     115
11     wayne garland           1988      3     1       2
12   george scherger           1988      1     0       1
13          jim hoff           1988     22    12      10
14    frank lucchesi    1988 - 1989    185    96      89
15     pete mackanin    1990 - 1992    366   186     180
16        dave miley           1992     68    32      36
17       rick renick    1993 - 1996    575   309     266
18       tom spencer           1997    143    74      69
19      trent jewett    1998 - 2000    339   176     163
20     richie hebner           2000     85    34      51
21       marty brown    2001 - 2002    284   136     148
22      trent jewett    2003 - 2004    285   144     141
23    frank kremblas    2005 - 2008    572   299     273
24         don money    2009 - 2011    432   223     209
25     mike guerrero    2012 - 2013    288   124     164
26     darnell coles  2014 - beyond      0     0       0
27            totals         totals   5157  2651    2506
