    rnd        circuit sports + 2.0 winning team sports 2.0 winning team gt + 2.0 winning team     gt 2.0 winning team  results
0     1      pensacola            4 skip lehmann   16 trans ocean motors    96 shelby american                 porsche  results
1     1      pensacola                 mike hall          george follmer             tom payne            charlie kolb  results
2     2      riverside         66 chaparral cars   16 trans ocean motors       shelby american                 porsche  results
3     2      riverside                  jim hall          george follmer             ken miles         scooter patrick  results
4     3    laguna seca         66 chaparral cars   28 enduro speed , inc       shelby american                 porsche  results
5     3    laguna seca                  jim hall            gerry bruihl             ken miles         scooter patrick  results
6     4  bridgehampton         66 chaparral cars   16 trans ocean motors    33 shelby american              14 porsche  results
7     4  bridgehampton                  jim hall          george follmer           bob johnson          george drolsom  results
8     5   watkins glen         65 chaparral cars   16 trans ocean motors    33 shelby american        14 herb wetanson  results
9     5   watkins glen                  jim hall          george follmer           bob johnson           herb wetanson  results
10    6           kent         66 chaparral cars          elva - porsche    13 shelby american                 porsche  results
11    6           kent                  jim hall             jerry titus             tom payne         scooter patrick  results
12    7    castle rock         65 chaparral cars   16 trans ocean motors    33 shelby american                 porsche  results
13    7    castle rock                 hap sharp          george follmer           bob johnson         scooter patrick  results
14    8     mid - ohio         65 chaparral cars                23 lotus             19 shelby       18 abarth - simca  results
15    8     mid - ohio                 hap sharp             doug revson            dan gerber               ray cuomo  results
16    9   road america         66 chaparral cars   16 trans ocean motors    13 shelby american  5 stoddard racing team  results
