                                 tie no                             home team                                 score                             away team                            attendance
0                                     1                         curzon ashton                                 1 - 1                       hinckley united                                   519
1  curzon ashton won 3 - 2 on penalties  curzon ashton won 3 - 2 on penalties  curzon ashton won 3 - 2 on penalties  curzon ashton won 3 - 2 on penalties  curzon ashton won 3 - 2 on penalties
2                                     7                           belper town                                 1 - 2                             droylsden                                   568
3                                     8                                histon                                 5 - 2                           durham city                                   441
4                                    12                        mansfield town                                 1 - 0                             york city                                  2004
5                                    14                         eastwood town                                 2 - 0                               wrexham                                   860
6                                    15                               horsham                                 1 - 4                     stevenage borough                                   641
7                                    16                      ebbsfleet united                                 1 - 0                                woking                                   869
8                                    23                   forest green rovers                                 4 - 0                  ashford town (middx)                                   425
9                                    30                                 lewes                                 1 - 3                               leiston                                   363
