    year        chassis               engine                  start                 finish           team
0   1985           lola             cosworth                   20th                    7th   bettenhausen
1   1986           lola             cosworth                   19th                   15th   bettenhausen
2   1987          march             cosworth                    7th                   18th      hemelgarn
3   1988           lola             cosworth                    6th                   10th          simon
4   1989           lola             cosworth                   15th                   21st          simon
5   1990           lola            chevrolet                    3rd                    1st       shierson
6   1991           lola            chevrolet                   14th                    3rd     granatelli
7   1992           lola      ford - cosworth                    4th                   15th        ganassi
8   1993           lola      ford - cosworth                    1st                    2nd        ganassi
9   1994           lola                ilmor                    8th                   18th   indy regency
10  1995           lola       menard - buick                    2nd                    7th    team menard
11  1996        reynard      ford - cosworth                   20th                   16th       treadway
12  1997      g - force  comptech oldsmobile                    1st                    1st       treadway
13  1998      g - force  comptech oldsmobile                   28th                   20th       treadway
14  1999      g - force  comptech oldsmobile                    1st                   22nd       treadway
15  2000  did not enter        did not enter          did not enter          did not enter  did not enter
16  2001      g - force  comptech oldsmobile                    6th                   13th       treadway
17  2002      g - force            chevrolet                   24th                   14th       treadway
18  2003      g - force               toyota  driven by alex barron  driven by alex barron        mo nunn
