   position              team  played  wins  draws  losses  scored  conceded  points
0         1          libertad      18     9      6       3      32        20      33
1         2           olimpia      18     9      6       3      30        18      33
2         3     cerro porteño      18     9      5       4      24        15      32
3         4           guaraní      18     7      6       5      24        17      27
4         5  sportivo luqueño      18     7      6       5      21        20      27
5         6    sol de américa      18     4      7       7      17        16      19
6         7     12 de octubre      18     4      7       7       7        14      19
7         8       san lorenzo      18     4      6       8      18        32      18
8         9           tacuary      18     4      5       9      20        29      17
9        10    sport colombia      18     4      4      10      22        29      16
