     rank          nation  gold  silver  bronze  total
0       1         hungary     7       1       4     12
1       2         germany     6       3       4     13
2       3          canada     5       1       0      6
3       4          russia     2       7       3     12
4       5          poland     2       3       4      9
5       6         romania     2       1       1      4
6       7          brazil     2       0       1      3
7       8         austria     2       0       0      2
8       9   great britain     1       4       1      6
9      10         belarus     1       3       4      8
10     11      azerbaijan     1       3       0      4
11     12           spain     1       2       3      6
12     13       lithuania     1       1       0      2
13     13     new zealand     1       1       0      2
14     15         ukraine     1       0       3      4
15     16          france     1       0       0      1
16     16        slovakia     1       0       0      1
17     18   united states     0       2       1      3
18     19          sweden     0       2       0      2
19     20       australia     0       1       2      3
20     20           italy     0       1       2      3
21     22        bulgaria     0       1       1      2
22     23  czech republic     0       1       0      1
23     24         denmark     0       0       1      1
24     24          norway     0       0       1      1
25     24      uzbekistan     0       0       1      1
26  total           total    37      37      37    111
