       date                                   course  distance                     type                          winner
0    20 may                        campione d'italia         -    individual time trial        charly grosskost ( fra )
1    21 may              campione d'italia to novara         -              plain stage             eddy merckx ( bel )
2    22 may                novara to saint - vincent         -  stage with mountain (s)             eddy merckx ( bel )
3    23 may                  saint - vincent to alba         -              plain stage         guido reybrouck ( bel )
4    24 may                          alba to sanremo         -  stage with mountain (s)               ward sels ( bel )
5    25 may                       sanremo to sanremo         -  stage with mountain (s)           italo zilioli ( ita )
6    26 may                   sanremo to alessandria         -  stage with mountain (s)     josé antonio momene ( esp )
7    27 may                  alessandria to piacenza         -  stage with mountain (s)        guerrino tosello ( ita )
8    28 may        san giorgio piacentino to brescia         -  stage with mountain (s)             eddy merckx ( bel )
9    29 may            brescia to lido di caldonazzo         -  stage with mountain (s)           julio jiménez ( esp )
10   30 may                   trento to monte grappa         -  stage with mountain (s)         emilio casalini ( ita )
11   31 may            bassano del grappa to trieste         -              plain stage         guido reybrouck ( bel )
12   1 june          gorizia to tre cime di lavaredo         -  stage with mountain (s)             eddy merckx ( bel )
13   2 june     cortina d'ampezzo to vittorio veneto         -  stage with mountain (s)           lino farisato ( ita )
14   3 june          vittorio veneto to marina romea         -              plain stage         luigi sgarbozza ( ita )
15   4 june                         ravenna to imola         -              plain stage            marino basso ( ita )
16   5 june                                 rest day  rest day                 rest day                        rest day
17   6 june  cesenatico to san marino ( san marino )         -    individual time trial          felice gimondi ( ita )
18   7 june     san marino ( san marino ) to foligno         -              plain stage          franco bitossi ( ita )
19   8 june         foligno to abbadia san salvatore         -  stage with mountain (s)           julio jiménez ( esp )
20   9 june            abbadia san salvatore to rome         -              plain stage      luciano dalla bona ( ita )
21  10 june                  rome to rocca di cambio         -  stage with mountain (s)  luis pedro santamarina ( esp )
22  11 june             rocca di cambio to blockhaus         -  stage with mountain (s)          franco bitossi ( ita )
23  12 june                         chieti to naples         -              plain stage         guido reybrouck ( bel )
24    total                                    total         -                  km (mi)                         km (mi)
