     res  record          opponent                                   method                               event  round   time                                  location
0    win  17 - 8        rudy bears                            tko (punches)                              vfc 39      1  n / a          omaha , nebraska , united states
1    win  16 - 8       jason louck            submission (guillotine choke)       disorderly conduct : warriors      1  n / a          omaha , nebraska , united states
2   loss  15 - 8   jason macdonald              submission (triangle choke)                             ufc 129      1   1:37                toronto , ontario , canada
3   loss  15 - 7       court mcgee          submission (arm triangle choke)                             ufc 121      3   1:21      anaheim , california , united states
4    win  15 - 6      jesse forbes            submission (guillotine choke)                             ufc 114      1   1:06        las vegas , nevada , united states
5   loss  14 - 6        mark muñoz              tko (submission to punches)                             ufc 108      1   2:30        las vegas , nevada , united states
6    win  14 - 5  steve steinbeiss  technical submission (guillotine choke)  ufc fight night : diaz vs guillard      1   3:56  oklahoma city , oklahoma , united states
7   loss  13 - 5    wilson gouveia                      submission (armbar)      ufc fight night : diaz vs neer      2   2:04          omaha , nebraska , united states
8    win  13 - 4    aaron praschak              tko (submission to punches)   victory fighting championships 24      1   2:09     council bluffs , iowa , united states
9    win  12 - 4    mitch whitesel                             tko (injury)                       sportfight 23      1   4:42         portland , oregon , united states
10  loss  11 - 4   joey villaseñor                               ko (punch)        strikeforce : shamrock vs le      1   4:45     san jose , california , united states
11  loss  11 - 3       demian maia            submission (rear naked choke)                              ufc 77      1   2:40         cincinnati , ohio , united states
12  loss  11 - 2     thales leites                      submission (armbar)                              ufc 74      1   3:47        las vegas , nevada , united states
13   win  11 - 1      curtis stout              submission (triangle choke)                     vfc 19: inferno      1   3:10     council bluffs , iowa , united states
14   win  10 - 1   alfred escobedo              tko (submission to punches)     ifc : road to global domination      1   1:21            belton , texas , united states
15   win   9 - 1           bj lacy                                      tko         ifc : rumble on the river 2      1   2:34        kearney , nebraska , united states
16   win   8 - 1       rob kimmons                       submission (choke)                  vfc 14: aggression      1  n / a     council bluffs , iowa , united states
17   win   7 - 1       marlon sims            submission (rear naked choke)                  ifc : caged combat      1   1:51   sacramento , california , united states
18   win   6 - 1    danny anderson                                      tko              vfc 10: championship x      2   1:16     council bluffs , iowa , united states
19  loss   5 - 1      brock larson              tko (submission to punches)                extreme challenge 63      1   1:39       hayward , wisconsin , united states
20   win   5 - 0         neal rowe            submission (rear naked choke)                extreme challenge 63      1   2:00       hayward , wisconsin , united states
21   win   4 - 0    tyrone roberts              submission (triangle choke)    victory fighting championships 5      1   2:46     council bluffs , iowa , united states
22   win   3 - 0        josh stamp                                      tko              vfc 2: bragging rights      1   0:56     council bluffs , iowa , united states
23   win   2 - 0    brian robinson              tko (submission to punches)    victory fighting championships 1      1   0:20     council bluffs , iowa , united states
24   win   1 - 0     travis fulton              submission (triangle choke)                 extreme challenge 4      1   1:40     council bluffs , iowa , united states
