    no                         driver                     entrant      constructor                  chassis  engine
0    2     ernst - günther burggaller         german bugatti team          bugatti             bugatti t35b  2.3 l8
1    4           hermann zu leiningen         german bugatti team          bugatti             bugatti t35c  2.0 l8
2    6  heinrich - joachim von morgen         german bugatti team          bugatti             bugatti t35b  2.3 l8
3    8              rudolf caracciola               private entry  mercedes - benz    mercedes - benz ssk l  7.1 l6
4   10                      earl howe               private entry          bugatti              bugatti t51  2.3 l8
5   12          clifton penn - hughes               private entry          bugatti              bugatti t35  2.0 l8
6   14                   henry birkin               private entry         maserati            maserati 26 m  2.5 l8
7   16                bernhard ackerl               private entry          bugatti              bugatti t37  1.5 l4
8   18                   juan zanelli               private entry          bugatti             bugatti t35b  2.3 l8
9   20                    guy bouriat  automobiles ettore bugatti          bugatti              bugatti t51  2.3 l8
10  22                   louis chiron  automobiles ettore bugatti          bugatti              bugatti t51  2.3 l8
11  24                    albert divo  automobiles ettore bugatti          bugatti              bugatti t51  2.3 l8
12  26                  achille varzi  automobiles ettore bugatti          bugatti              bugatti t51  2.3 l8
13  28             philippe étancelin               private entry          bugatti             bugatti t35c  2.0 l8
14  30           stanislas czaykowski               private entry          bugatti             bugatti t35b  2.3 l8
15  32                  marcel lehoux               private entry          bugatti             bugatti t35b  2.3 l8
16  34      william grover - williams               private entry          bugatti             bugatti t35c  2.0 l8
17  36                boris ivanowski               private entry  mercedes - benz      mercedes - benz ssk  7.1 l6
18  38                  andré boillot               private entry          peugeot             peugeot 174s  4.0 l4
19  40                luigi arcangeli               sa alfa romeo       alfa romeo     alfa romeo 6c - 1750  1.8 l6
20  42            baconin borzacchini               sa alfa romeo       alfa romeo     alfa romeo 6c - 1750  1.8 l6
21  44                 tazio nuvolari               sa alfa romeo       alfa romeo     alfa romeo 8c - 2300  2.3 l8
22  46              goffredo zehender            scuderia ferrari       alfa romeo  alfa romeo 6c - 1750 gs  1.8 l6
23  48             clemente biondetti         officine a maserati         maserati            maserati 26 m  2.5 l8
24  50                   rené dreyfus         officine a maserati         maserati            maserati 26 m  2.5 l8
25  52                  luigi fagioli         officine a maserati         maserati            maserati 26 m  2.5 l8
26  54               carlo pedrazzini               private entry         maserati             maserati 26b  2.0 l8
